Name,xMLBAMID,Team,Season,IP,G,GS,W,L,SO,BB,HBP,ERA,WHIP,HR,R,ER,H,SV,HLD,QS,K/BB,BS,TBF
"<a href=""statss.aspx?playerid=29960&position=P"">AJ Smith-Shawver</a>",700363,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=16&rost=0&age=0"">ATL</a>",2024,4.1,1,1,0,0,4,2,0,0,1.1538462384918093,0,0,0,3,0,0,0,2,0,18
"<a href=""statss.aspx?playerid=26944&position=P"">Edgardo Henriquez</a>",683618,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,3.1,3,0,0,0,5,2,0,2.70000025749209,1.200000114440929,0,1,1,2,1,0,0,2.5,0,14
"<a href=""statss.aspx?playerid=19962&position=P"">Joey Wentz</a>",666214,- - -,2024,67.1,46,0,1,2,73,33,4,4.678218638987067,1.4702972865387927,8,37,35,66,1,2,0,2.21212121,0,304
"<a href=""statss.aspx?playerid=18439&position=P"">Danny Young</a>",664849,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=25&rost=0&age=0"">NYM</a>",2024,37.2,42,0,4,1,48,18,7,4.539824234906556,1.2477879476058953,3,22,19,29,0,7,0,2.66666667,0,165
"<a href=""statss.aspx?playerid=27453&position=P"">Anthony Veneziano</a>",685107,- - -,2024,13.1,12,0,1,0,14,3,1,3.3750008046628963,1.4250003397465563,1,7,5,16,0,1,0,4.66666667,0,58
"<a href=""statss.aspx?playerid=19804&position=P"">Bryan Baker</a>",641329,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=2&rost=0&age=0"">BAL</a>",2024,23.1,19,0,1,1,23,7,0,5.014286397428021,1.157143014791082,3,14,13,20,0,3,0,3.28571429,0,93
"<a href=""statss.aspx?playerid=19795&position=P"">Keegan Thompson</a>",624522,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,30.1,24,0,2,1,36,18,0,2.6703299501785813,1.2197803476124385,3,12,9,19,2,2,0,2,0,127
"<a href=""statss.aspx?playerid=20367&position=P"">Brusdar Graterol</a>",660813,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,7.1,7,0,0,0,7,2,0,2.454545560947139,0.6818182113742053,0,2,2,3,0,0,0,3.5,0,27
"<a href=""statss.aspx?playerid=19753&position=P"">Jonathan Loaisiga</a>",642528,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=9&rost=0&age=0"">NYY</a>",2024,4,3,0,1,0,3,1,0,0,2,0,0,0,7,0,0,0,3,1,20
"<a href=""statss.aspx?playerid=31838&position=P"">Kodai Senga</a>",673540,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=25&rost=0&age=0"">NYM</a>",2024,5.1,1,1,1,0,9,1,1,3.375000201165688,0.5625000335276147,1,2,2,2,0,0,0,9,0,20
"<a href=""statss.aspx?playerid=25977&position=P"">Quinn Priester</a>",682990,- - -,2024,49.2,11,7,3,6,33,14,3,4.711409637216127,1.4093960453210637,7,30,26,56,0,0,2,2.35714286,0,221
"<a href=""statss.aspx?playerid=27514&position=P"">Kyle Hurt</a>",669165,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,6.2,3,1,0,1,3,1,0,1.350000128746045,1.350000128746045,0,2,1,8,0,0,0,3,0,27
"<a href=""statss.aspx?playerid=26171&position=P"">Connor Gillispie</a>",687362,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=5&rost=0&age=0"">CLE</a>",2024,8,3,0,0,0,8,5,0,2.25,1.125,0,2,2,4,0,0,0,1.6,0,32
"<a href=""statss.aspx?playerid=22361&position=P"">Colin Holderman</a>",670059,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=27&rost=0&age=0"">PIT</a>",2024,51.1,55,0,3,6,56,25,5,3.15584470305289,1.3051950315095286,6,23,18,42,0,21,0,2.24,5,223
"<a href=""statss.aspx?playerid=15256&position=P"">Cole Sulser</a>",642121,- - -,2024,16.1,10,2,1,0,15,9,0,2.7551022553036946,1.1020409021214779,1,5,5,9,0,1,0,1.66666667,0,66
"<a href=""statss.aspx?playerid=19444&position=P"">Yohan Ramirez</a>",670990,- - -,2024,45,38,0,0,5,45,17,12,6.200001051161203,1.4666669153284566,4,35,31,49,1,1,0,2.64705882,2,208
"<a href=""statss.aspx?playerid=26215&position=P"">Jackson Rutledge</a>",671131,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=24&rost=0&age=0"">WSN</a>",2024,8.1,3,1,0,0,9,2,1,3.2400004943848413,1.2000001831054967,1,3,3,8,0,0,0,4.5,0,34
"<a href=""statss.aspx?playerid=12791&position=P"">Michael Kelly</a>",547184,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=10&rost=0&age=0"">OAK</a>",2024,31.1,28,0,3,2,22,10,3,2.5851069599755583,1.1808513273962427,2,11,9,27,0,4,0,2.2,0,128
"<a href=""statss.aspx?playerid=20160&position=P"">Nate Pearson</a>",663878,- - -,2024,66.1,60,1,2,2,74,21,3,4.477387664215915,1.3266333819899008,12,34,33,67,2,11,0,3.52380952,2,285
"<a href=""statss.aspx?playerid=12863&position=P"">Matt Barnes</a>",598264,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=24&rost=0&age=0"">WSN</a>",2024,13.1,14,0,0,0,10,4,0,6.750000643730225,1.5000001430511611,1,11,10,16,0,0,0,2.5,0,60
"<a href=""statss.aspx?playerid=6632&position=P"">Carlos Carrasco</a>",471911,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=5&rost=0&age=0"">CLE</a>",2024,103.2,21,21,3,10,89,33,5,5.6430869551554235,1.3987138606795495,19,68,65,112,0,0,4,2.6969697,0,447
"<a href=""statss.aspx?playerid=20153&position=P"">Nick Nelson</a>",656793,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,5.1,4,0,0,0,8,2,1,5.062500301748532,1.8750001117587156,0,3,3,8,0,0,0,4,0,26
"<a href=""statss.aspx?playerid=12777&position=P"">John Brebbia</a>",605154,- - -,2024,55.1,59,0,0,6,67,19,3,5.855422830491906,1.3554219515027561,11,36,36,56,2,13,0,3.52631579,3,242
"<a href=""statss.aspx?playerid=31261&position=P"">Chris Roycroft</a>",688297,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=28&rost=0&age=0"">STL</a>",2024,34.1,27,0,1,2,33,17,4,4.19417584462697,1.3980586148756566,2,19,16,31,0,1,0,1.94117647,1,155
"<a href=""statss.aspx?playerid=4301&position=P"">Justin Wilson</a>",458677,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=18&rost=0&age=0"">CIN</a>",2024,46.2,60,0,1,5,51,13,2,5.592858362003514,1.457143174774862,10,30,29,55,2,10,0,3.92307692,2,209
"<a href=""statss.aspx?playerid=19309&position=P"">Trevor Richards</a>",670950,- - -,2024,65.1,55,2,2,2,62,35,2,4.545918986679251,1.209183838207612,7,36,33,44,1,7,0,1.77142857,3,277
"<a href=""statss.aspx?playerid=21620&position=P"">Jake Cousins</a>",664776,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=9&rost=0&age=0"">NYY</a>",2024,38,37,0,2,1,53,20,5,2.3684217659062132,1.052631895958317,5,14,10,20,1,8,0,2.65,0,155
"<a href=""statss.aspx?playerid=33828&position=P"">Naoyuki Uwasawa</a>",683822,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=3&rost=0&age=0"">BOS</a>",2024,4,2,0,0,0,3,2,0,2.25,1,0,1,1,2,0,0,0,1.5,0,16
"<a href=""statss.aspx?playerid=19680&position=P"">Sixto Sanchez</a>",664350,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=20&rost=0&age=0"">MIA</a>",2024,35.2,14,7,0,3,17,14,3,6.0560750362394025,1.5981309123409535,3,29,24,43,0,1,0,1.21428571,1,162
"<a href=""statss.aspx?playerid=27942&position=P"">John McMillon</a>",669111,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=20&rost=0&age=0"">MIA</a>",2024,12,10,0,2,1,13,5,0,1.500000119209299,1.000000079472866,1,4,2,7,0,2,0,2.6,0,47
"<a href=""statss.aspx?playerid=29271&position=P"">Yilber Diaz</a>",700270,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=15&rost=0&age=0"">ARI</a>",2024,28.1,7,4,1,1,19,12,0,3.8117648769497534,1.3764706500096333,3,13,12,27,0,0,2,1.58333333,0,119
"<a href=""statss.aspx?playerid=23809&position=P"">Ray Kerr</a>",678061,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=16&rost=0&age=0"">ATL</a>",2024,22.1,10,2,1,2,27,7,3,5.641791365995912,1.6119403902845462,4,14,14,29,0,0,0,3.85714286,0,103
"<a href=""statss.aspx?playerid=20167&position=P"">Kyle Muller</a>",666205,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=10&rost=0&age=0"">OAK</a>",2024,49.1,21,0,0,1,36,10,1,4.0135136169617525,1.1756757059786953,6,25,22,48,0,0,0,3.6,0,202
"<a href=""statss.aspx?playerid=31635&position=P"">Hayden Birdsong</a>",806185,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=30&rost=0&age=0"">SFG</a>",2024,72,16,16,5,6,88,43,4,4.75,1.3888888888888888,11,39,38,57,0,0,1,2.04651163,0,315
"<a href=""statss.aspx?playerid=21183&position=P"">Humberto Castellanos</a>",528748,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=15&rost=0&age=0"">ARI</a>",2024,10.1,7,0,0,0,7,4,2,5.225807094673291,1.451613081853692,0,6,6,11,1,0,0,1.75,0,48
"<a href=""statss.aspx?playerid=18064&position=P"">Phil Maton</a>",664208,- - -,2024,64,71,0,3,3,60,24,9,3.656250653788564,1.109375198371744,7,27,26,47,3,18,0,2.5,2,265
"<a href=""statss.aspx?playerid=33834&position=P"">Andrew Walters</a>",689958,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=5&rost=0&age=0"">CLE</a>",2024,8.2,9,1,1,0,6,5,0,0,0.6923078192761897,0,1,0,1,0,0,0,1.2,0,32
"<a href=""statss.aspx?playerid=22932&position=P"">Prelander Berroa</a>",672860,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=4&rost=0&age=0"">CHW</a>",2024,19,17,0,1,0,26,13,1,3.315790139407136,1.4736845064031714,2,7,7,15,0,3,0,2,0,83
"<a href=""statss.aspx?playerid=29530&position=P"">Fraser Ellard</a>",686642,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=4&rost=0&age=0"">CHW</a>",2024,24,25,0,2,3,26,12,1,3.7500014901167114,1.2500004967055705,3,12,10,18,1,2,0,2.16666667,1,101
"<a href=""statss.aspx?playerid=21992&position=P"">Camilo Doval</a>",666808,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=30&rost=0&age=0"">SFG</a>",2024,59,62,0,5,3,78,39,2,4.881356563420256,1.576271390271124,5,35,32,54,23,5,0,2,5,271
"<a href=""statss.aspx?playerid=24930&position=P"">Ethan Roberts</a>",681799,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,26.2,21,0,1,1,26,10,1,3.7125000885128996,1.5375000366568574,3,11,11,31,0,1,0,2.6,0,118
"<a href=""statss.aspx?playerid=27775&position=P"">Kyle Nicolas</a>",693312,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=27&rost=0&age=0"">PIT</a>",2024,54.2,51,0,2,2,55,31,4,3.951219971728903,1.5000001744526392,4,30,24,51,0,7,0,1.77419355,0,243
"<a href=""statss.aspx?playerid=21584&position=P"">Tristan Beck</a>",663941,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=30&rost=0&age=0"">SFG</a>",2024,16,7,1,0,0,14,4,1,1.687500100582844,1.1250000670552294,2,3,3,14,0,0,0,3.5,0,67
"<a href=""statss.aspx?playerid=16703&position=P"">Julian Merryweather</a>",657240,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,15,15,0,1,1,14,9,3,6.6000008392335054,1.800000228881865,0,11,11,18,0,2,0,1.55555556,1,74
"<a href=""statss.aspx?playerid=19867&position=P"">Griffin Canning</a>",656288,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=1&rost=0&age=0"">LAA</a>",2024,171.2,32,31,6,13,130,66,6,5.190291569699278,1.3980583352725329,31,105,99,174,0,0,7,1.96969697,0,739
"<a href=""statss.aspx?playerid=15369&position=P"">Kevin Herget</a>",643361,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=23&rost=0&age=0"">MIL</a>",2024,11.1,7,0,0,0,9,3,0,1.588235472312868,0.794117736156434,1,2,2,6,1,1,0,3,0,43
"<a href=""statss.aspx?playerid=25839&position=P"">Luis Contreras</a>",664351,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=21&rost=0&age=0"">HOU</a>",2024,6,5,0,0,0,6,2,0,9.000001430511702,1.500000238418617,0,6,6,7,0,0,0,3,0,26
"<a href=""statss.aspx?playerid=16727&position=P"">Brock Stewart</a>",592779,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,15.2,16,0,0,0,20,8,0,5.1702132904999605,1.4680852553271493,2,9,9,15,0,7,0,2.5,0,67
"<a href=""statss.aspx?playerid=23165&position=P"">Steven Cruz</a>",674444,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=7&rost=0&age=0"">KCR</a>",2024,5.2,5,0,0,0,4,0,0,0,0.1764706080347631,0,0,0,1,0,0,0,4,0,18
"<a href=""statss.aspx?playerid=21652&position=P"">Elvis Peguero</a>",665625,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=23&rost=0&age=0"">MIL</a>",2024,51.1,52,0,7,4,47,27,2,2.98051999732773,1.5389613058097429,4,22,17,52,2,11,0,1.74074074,4,227
"<a href=""statss.aspx?playerid=21527&position=P"">James McArthur</a>",663704,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=7&rost=0&age=0"">KCR</a>",2024,56.2,57,0,5,7,49,14,3,4.923529964169891,1.4470589858850575,8,36,31,68,18,2,0,3.5,7,247
"<a href=""statss.aspx?playerid=27494&position=P"">Clayton Beeter</a>",690925,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=9&rost=0&age=0"">NYY</a>",2024,3.2,3,0,0,0,5,1,0,4.909091760304496,1.3636366000845823,0,2,2,4,0,0,0,5,0,15
"<a href=""statss.aspx?playerid=24094&position=P"">Ronny Henriquez</a>",678692,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,19.1,16,1,1,1,15,5,2,3.2586212254592017,1.2931036608965085,2,8,7,20,0,2,0,3,1,82
"<a href=""statss.aspx?playerid=30182&position=P"">Will Warren</a>",701542,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=9&rost=0&age=0"">NYY</a>",2024,22.2,6,5,0,3,29,10,1,10.323529701331916,1.8970588767404801,5,27,26,33,0,0,0,2.9,0,110
"<a href=""statss.aspx?playerid=21544&position=P"">Chase Shugart</a>",663767,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=3&rost=0&age=0"">BOS</a>",2024,8.2,6,0,0,0,8,3,0,4.153846915657138,1.2692310020063478,1,4,4,8,1,0,0,2.66666667,0,36
"<a href=""statss.aspx?playerid=16466&position=P"">Brent Honeywell</a>",641703,- - -,2024,37.2,20,1,1,1,18,11,2,2.6283186949805324,1.141592968526898,3,12,11,32,1,1,0,1.63636364,1,149
"<a href=""statss.aspx?playerid=19995&position=P"">Joel Kuhnel</a>",669270,- - -,2024,10,6,0,0,0,5,0,1,4.5,0.8,1,5,5,8,0,0,0,5,0,39
"<a href=""statss.aspx?playerid=15552&position=P"">Chad Green</a>",643338,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=14&rost=0&age=0"">TOR</a>",2024,53.1,53,0,4,6,46,14,2,3.206250305771857,1.0312500983476733,8,20,19,41,17,7,0,3.28571429,3,210
"<a href=""statss.aspx?playerid=27694&position=P"">Justin Sterner</a>",686993,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=12&rost=0&age=0"">TBR</a>",2024,4,2,0,0,0,4,1,0,2.25,1.5,0,2,1,5,0,0,0,4,0,19
"<a href=""statss.aspx?playerid=19883&position=P"">Alex Lange</a>",656638,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=6&rost=0&age=0"">DET</a>",2024,18.2,21,0,0,3,21,17,2,4.339286748852295,1.7678575643472314,0,16,9,16,2,1,0,1.23529412,0,90
"<a href=""statss.aspx?playerid=27914&position=P"">Daniel Palencia</a>",694037,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,14.2,10,0,0,1,16,12,1,6.136363902367847,1.7727273495729339,0,11,10,14,1,0,0,1.33333333,0,69
"<a href=""statss.aspx?playerid=16754&position=P"">Vinny Nittoli</a>",657697,- - -,2024,12,9,0,0,1,8,2,0,1.500000119209299,1.000000079472866,1,2,2,10,0,1,0,4,0,46
"<a href=""statss.aspx?playerid=10591&position=P"">Scott Alexander</a>",518397,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=10&rost=0&age=0"">OAK</a>",2024,38.2,45,0,1,3,31,15,2,2.5603455011684817,1.1896554853914156,3,14,11,31,0,10,0,2.06666667,3,160
"<a href=""statss.aspx?playerid=17556&position=P"">Jimmy Herget</a>",623474,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=16&rost=0&age=0"">ATL</a>",2024,12.1,8,0,0,1,15,3,0,4.378378491231003,1.297297330735112,2,6,6,13,0,0,0,5,0,52
"<a href=""statss.aspx?playerid=14552&position=P"">Jose Ruiz</a>",614179,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,51,52,0,5,1,52,17,1,3.705882630133732,1.3333334330639883,8,23,21,51,1,0,0,3.05882353,0,217
"<a href=""statss.aspx?playerid=28036&position=P"">Luke Little</a>",681432,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,26,30,1,3,1,28,18,4,3.461539477286552,1.269231141671736,1,11,10,15,0,3,0,1.55555556,0,109
"<a href=""statss.aspx?playerid=19178&position=P"">Tommy Nance</a>",667297,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=14&rost=0&age=0"">TOR</a>",2024,22,20,0,0,3,19,9,1,4.090909445581388,1.2272728336744165,2,12,10,18,0,0,0,2.11111111,1,93
"<a href=""statss.aspx?playerid=18694&position=P"">Kolby Allard</a>",663465,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,27,7,4,2,0,23,8,0,5,1.5555555555555556,5,15,15,34,0,0,0,2.875,0,117
"<a href=""statss.aspx?playerid=17732&position=P"">Nabil Crismatt</a>",622503,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,7,5,0,1,1,6,0,0,2.5714285714285716,1,1,3,2,7,0,0,0,6,0,26
"<a href=""statss.aspx?playerid=18674&position=P"">Jake Woodford</a>",663765,- - -,2024,35,9,7,0,6,26,9,3,7.971428788632768,1.6285714729464795,6,37,31,48,0,0,1,2.88888889,0,167
"<a href=""statss.aspx?playerid=30002&position=P"">Grant Holman</a>",680880,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=10&rost=0&age=0"">OAK</a>",2024,15.2,18,0,1,1,16,9,1,4.021277738081919,1.6595749395258712,1,8,7,17,0,5,0,1.77777778,1,73
"<a href=""statss.aspx?playerid=19911&position=P"">Jose Suarez</a>",660761,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=1&rost=0&age=0"">LAA</a>",2024,52.1,22,3,1,2,56,27,4,6.019109084623786,1.6050957558996761,7,38,35,57,1,0,0,2.07407407,0,240
"<a href=""statss.aspx?playerid=15145&position=P"">Justin Topa</a>",623437,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,2.1,3,0,0,0,2,0,0,0,0.42857148695965996,0,0,0,1,0,0,0,2,0,8
"<a href=""statss.aspx?playerid=27765&position=P"">Yosver Zulueta</a>",691172,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=18&rost=0&age=0"">CIN</a>",2024,16.1,12,0,0,0,20,7,1,4.959184059546651,1.3469388803706952,2,10,9,15,0,0,0,2.85714286,0,69
"<a href=""statss.aspx?playerid=16427&position=P"">Scott Blewett</a>",656240,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,20.1,12,0,1,1,18,8,1,1.7704920800775121,1.2295083889427167,2,5,4,17,0,0,0,2.25,0,85
"<a href=""statss.aspx?playerid=11384&position=P"">Tommy Kahnle</a>",592454,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=9&rost=0&age=0"">NYY</a>",2024,42.2,50,0,0,2,46,19,2,2.10937550291431,1.1484377738089022,5,16,10,30,1,16,0,2.42105263,0,179
"<a href=""statss.aspx?playerid=19337&position=P"">Richard Lovelady</a>",663992,- - -,2024,34.1,35,0,3,6,26,11,2,4.4563114635682135,1.3106798422259451,3,18,17,34,2,4,0,2.36363636,2,147
"<a href=""statss.aspx?playerid=21367&position=P"">Peter Strzelecki</a>",657265,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=5&rost=0&age=0"">CLE</a>",2024,11.2,10,0,0,0,9,3,1,2.314286218760075,1.2000002615792982,1,3,3,11,0,1,0,3,0,47
"<a href=""statss.aspx?playerid=12575&position=P"">Nick Ramirez</a>",598286,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,13.1,8,0,0,0,5,7,0,6.07500014483929,1.8750000447034847,0,11,9,18,0,0,0,0.71428571,0,63
"<a href=""statss.aspx?playerid=21093&position=P"">Nick Vespi</a>",663989,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=2&rost=0&age=0"">BAL</a>",2024,12.1,11,0,0,0,9,3,0,2.918918994154002,1.0540540812222785,1,4,4,10,0,0,0,3,0,49
"<a href=""statss.aspx?playerid=11486&position=P"">Robbie Ray</a>",592662,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=30&rost=0&age=0"">SFG</a>",2024,30.2,7,7,3,2,43,15,6,4.695652563315065,1.1413044424724117,6,16,16,20,0,0,2,2.86666667,0,129
"<a href=""statss.aspx?playerid=23391&position=P"">Ricky Vanasco</a>",676568,- - -,2024,4,4,0,1,0,1,0,0,6.75,0.75,0,3,3,3,0,1,0,1,0,15
"<a href=""statss.aspx?playerid=23592&position=P"">Brett de Geus</a>",676969,- - -,2024,11.1,13,0,0,2,7,4,3,7.147060226816895,1.5882356059593101,0,10,9,14,0,0,0,1.75,0,52
"<a href=""statss.aspx?playerid=23426&position=P"">Max Lazar</a>",676661,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,13.2,11,0,0,0,9,2,0,4.609756955357427,1.0975611798470064,2,7,7,13,0,0,0,4.5,0,54
