Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TOR,Blue Jays,12,12,32,32,0,1,,200,842,188,99,94,34,200,53,,8,4.21484,1.2055,9.00429,2.3846,3.77601,1.50999,0.237755,0.0629647,0.17479076236486435,0.309814,0.240976,0.282568,0.729601,4.23013,794,3.97,779,3.895,2.65048,2.20474,614.4199829101562,14,AL,Max Scherzer,453286,3137,3137
SEA,Mariners,12,11,32,32,0,0,,200,841,188,93,86,27,189,56,,7,3.86268,1.22139,8.50988,2.53533,3.35652,1.23064,0.22485,0.0669889,0.15786093473434448,0.399082,0.241798,0.286361,0.735555,3.97858,848.1000000000001,4.240500000000001,838,4.19,2.63045,2.23804,171.25999450683594,11,AL,Luis Castillo,622491,15689,15689
CHW,White Sox,11,13,32,32,0,1,,200,865,206,101,92,24,159,75,,8,4.15211,1.40085,7.15544,3.35926,2.13006,1.06001,0.183867,0.0863201,0.09754718095064163,0.495621,0.262815,0.303563,0.726509,4.31839,722.1999999999999,3.6109999999999998,761,3.805,2.60707,2.33738,729,4,AL,Anthony Kay,641743,20387,20387
CIN,Reds,11,13,32,32,0,0,,200,862,201,105,97,30,187,64,,11,4.36792,1.32385,8.4051,2.87131,2.92726,1.36056,0.216758,0.074048,0.1427100971341133,0.438771,0.25541,0.299622,0.720296,4.35564,737.4,3.687,759,3.795,2.60021,2.55457,367.80999755859375,18,NL,Brady Singer,663903,25377,25377
NYM,Mets,13,11,32,32,0,0,,200,859,192,90,81,20,177,77,,9,3.65141,1.34516,7.96629,3.46815,2.29699,0.916436,0.20615,0.089748,0.11640196293592453,0.515639,0.248406,0.298231,0.746066,3.97801,830.8,4.154,836,4.18,2.58663,3.23972,485.54998779296875,25,NL,David Peterson,656849,20302,20302
CHC,Cubs,12,11,32,32,0,0,,200,841,189,94,87,28,180,60,,8,3.93559,1.24691,8.08955,2.70784,2.98746,1.25348,0.213654,0.0715169,0.14213696122169495,0.376619,0.244849,0.285514,0.737773,4.17769,800.1999999999999,4.0009999999999994,792,3.96,2.57676,3.05922,214.4499969482422,17,NL,Matthew Boyd,571510,15440,15440
NYM,Mets,13,12,32,32,0,1,,200,858,182,95,87,24,201,85,,7,3.91938,1.33478,9.04115,3.83599,2.35693,1.07239,0.23411,0.0993286,0.13478175550699234,0.437382,0.23736,0.291935,0.738,4.0648,841.5999999999999,4.207999999999999,818,4.09,2.57081,2.70755,233.1699981689453,25,NL,Kodai Senga,673540,31838,31838
NYY,Yankees,13,11,32,32,0,1,,200,847,185,92,85,27,197,68,,8,3.83658,1.26614,8.86307,3.05132,2.90466,1.23131,0.232442,0.0800238,0.1524183675646782,0.417366,0.24041,0.288982,0.748767,4.08516,836.9000000000001,4.184500000000001,819,4.095,2.54977,2.87802,230.77000427246094,9,AL,Ryan Weathers,677960,23796,23796
BAL,Orioles,12,12,32,32,0,0,,200,857,202,101,93,26,170,68,,7,4.20421,1.34715,7.66092,3.04789,2.51352,1.16022,0.198588,0.0790081,0.11957997828722,0.433955,0.257775,0.299975,0.721826,4.2306,750,3.75,777,3.885,2.54739,2.04738,148.9499969482422,2,AL,Trevor Rogers,669432,22286,22286
CLE,Guardians,11,13,32,32,0,0,,200,850,193,98,91,28,189,61,,9,4.09965,1.26831,8.49846,2.75058,3.0897,1.27479,0.222282,0.071943,0.15033910423517227,0.395611,0.247067,0.29213,0.727269,4.1428,801.8,4.0089999999999995,804,4.02,2.54075,2.3338,187.3000030517578,5,AL,Tanner Bibee,676440,30134,30134
