Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
PHI,Phillies,12.0032,9.0284,29.342,29.342,0,0,,176.012,731.597,153.149,78.9,73.14,21.334,196.973,55.76,0.492948,5.47629,3.73986,1.1869,10.0718,2.85117,3.53251,1.09087,0.269237,0.0762169,0.1930200308561325,,0.228457,0.29159,0.726139,3.51639,857.3000000000002,4.871022727272728,818,4.6477272727272725,3.94481,3.11026,13.6696,71.6500015258789,26,NL,Jesús Luzardo,666200,19959,19959
HOU,Astros,12.0942,9.17871,29.337,29.337,0,0,,178.999,740.525,149.699,75.8,71.2,19.3787,193.658,60.8663,0.547772,7.0936,3.57991,1.17635,9.73706,3.06033,3.1817,0.974355,0.261515,0.0821934,0.17932122200727463,,0.22258,0.283597,0.734676,3.51775,884.9000000000001,4.943575418994414,832,4.648044692737431,3.92554,3.63715,14.0723,36.77000045776367,21,AL,Hunter Brown,686613,25880,25880
SEA,Mariners,11.3531,8.5719,27.99,27.99,0,0,,165.613,673.956,148.379,71.95,67.35,20.4041,160.352,33.0803,0.442547,6.08993,3.66004,1.09568,8.71408,1.7977,4.84735,1.10883,0.237926,0.0490837,0.1888422779738903,,0.233746,0.281864,0.716245,3.50987,800.6000000000001,4.822891566265061,773,4.656626506024097,3.84009,3.20469,12.5974,64.52999877929688,11,AL,George Kirby,669923,25436,25436
NYY,Yankees,13.4741,7.81544,28.699,28.699,0,0,,180.199,740.974,151.214,70.84,65.87,16.8132,169.157,57.3776,0.471693,6.8894,3.28986,1.15756,8.44849,2.86571,2.94813,0.83973,0.22829,0.0774354,0.1508542001247406,,0.223456,0.273876,0.74439,3.54057,876.3000000000001,4.868333333333334,825,4.583333333333333,3.82621,4.26501,14.4407,49.81999969482422,9,AL,Max Fried,608331,13743,13743
MIN,Twins,10.6234,9.48382,28.038,28.038,0,0,,168.533,684.638,139.856,75.24,70.6,25.431,185.234,39.6221,0.434706,7.37457,3.77018,1.06494,9.89187,2.1159,4.67501,1.35807,0.270558,0.0578731,0.21268445253372192,,0.219333,0.267988,0.724506,3.73517,808.1000000000001,4.7816568047337284,749,4.431952662721893,3.7425,3.07889,13.1402,79.4000015258789,8,AL,Joe Ryan,657746,21390,21390
TOR,Blue Jays,11.5645,8.90767,29.088,29.088,0,0,,168.955,701.906,136.178,74.91,70.02,22.1928,203.288,62.6537,0.587654,5.76194,3.72987,1.17684,10.8289,3.33748,3.24463,1.18218,0.289623,0.0892622,0.20036034286022186,,0.214965,0.27937,0.738677,3.65112,825.4,4.8840236686390535,758,4.485207100591716,3.56029,3.07791,12.6012,74.19000244140625,14,AL,Dylan Cease,656302,18525,18525
DET,Tigers,12.3757,9.27979,28.856,28.856,0,0,,187.51,785.569,168.516,82.29,76.25,16.9955,170.273,64.4871,0.520752,9.09923,3.6598,1.24262,8.17267,3.09521,2.64042,0.815742,0.216751,0.0820896,0.13466143608093262,,0.236685,0.288767,0.720394,3.6746,863.7000000000002,4.594148936170214,840,4.468085106382978,3.43873,3.58334,15.8467,82.37999725341797,6,AL,Framber Valdez,664285,17295,17295
PHI,Phillies,9.54708,5.81633,20.809,20.809,0,0,,129.846,527.08,102.45,51.25,47.75,15.5066,151.957,37.5791,0.323701,5.20827,3.30969,1.07843,10.5326,2.60472,4.04366,1.07481,0.2883,0.0712969,0.21700315922498703,,0.211547,0.274419,0.750333,3.33564,675,5.1923076923076925,617,4.746153846153846,3.27304,3.11166,10.3419,112.94999694824219,26,NL,Zack Wheeler,554430,10310,10310
BOS,Red Sox,10.9629,8.58488,27.025,27.025,0,0,,164.706,685.529,153.323,73.28,68.08,17.1882,142.193,46.3482,0.603171,5.3298,3.72008,1.21229,7.76981,2.5326,3.06792,0.939211,0.20742,0.0676093,0.1398109868168831,,0.241891,0.286919,0.719736,3.70643,745.1000000000001,4.5157575757575765,735,4.454545454545454,3.22636,3.03069,13.0197,183.47000122070312,3,AL,Ranger Suarez,624133,17277,17277
NYM,Mets,11.2336,8.77835,28.51,28.51,0,0,,164.756,681.48,130.328,72.46,68.1,21.966,181.857,60.6335,0.430788,7.48096,3.72005,1.15906,9.93419,3.31218,2.99929,1.19992,0.266857,0.0889733,0.17788339406251907,,0.21248,0.264593,0.739668,3.90104,772.4000000000001,4.681212121212122,699,4.236363636363636,3.21172,3.13678,12.2006,56.54999923706055,25,NL,Freddy Peralta,642547,18679,18679
