Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Thairo Estrada","BAL",31.029,126.987,118.234,28.6328,20.7782,4.59949,0.742696,2.51247,14.1013,11.6912,5.71502,0.0371615,24.1538,1.93124,0.894064,0.212186,2.43664,2.72783,0.885569,0.24217,0.0450048,0.190207,0.236609,0.286169,0.357384,0.281761,0.643553,0.115214,5.51923,0.282497,,-0.0044937,11.778,-3.22649,80.0826,-0.0044937,0.08,-2.9855074766092002,0.5588425546884537,0.198898,999,,,,,,,119.7,3.861290322,119.7,3.861290322,,,,,,,,,,,,,,,,,,,"Thairo Estrada","16426",642731
"Alan Roden","MIN",52.372,193.236,173.164,42.7605,31.1328,8.30408,0.896347,2.42729,20.9884,16.5428,14.7908,0.576054,33.1421,3.76086,1.26074,0.25976,4.33466,3.16948,0.847061,0.246937,0.0765425,0.171511,0.446283,0.317719,0.347296,0.29511,0.665015,0.100359,4.83316,0.29047,,-0.0371867,20.0169,-2.81546,87.0758,-0.0371867,0.9,-2.9806848131120205,-1.733199954032898,0.198178,999,,,,,,,175.4,3.373076923,175.4,3.373076923,,,,,,,,,,,,,,,,,,,"Alan Roden","31564",702176
"Ty France","SDP",44.169,174.666,157.306,39.4666,28.6219,6.38236,0.241837,4.2205,18.6653,18.7482,10.1362,0.15394,31.756,5.63796,1.35883,0.227184,4.43831,0.314321,0.164841,0.250891,0.0580319,0.18181,0.31919,0.316677,0.375029,0.305266,0.691706,0.124137,2.37075,0.287282,,-0.296713,19.5335,-1.1046,98.4408,-0.296713,-0.03,-0.6194957792758942,-3.2676966469734907,0.196848,999,,,,,,,164.4,3.736363636,164.4,3.736363636,,,,,,,,,,,,,,,,,,,"Ty France","17982",664034
"Triston Casas","BOS",45.295,184.446,160.144,37.1568,23.0808,7.20991,0.189171,6.67696,20.3144,23.7292,21.399,1.49688,46.3197,1.39892,1.30868,0.195418,3.1921,0.226356,0.140195,0.232021,0.116018,0.251129,0.461985,0.325398,0.404486,0.317743,0.729884,0.172464,1.87253,0.281035,,-0.305136,22.4958,0.702095,99.2293,-0.305136,-0.03,-0.4726809561252594,-3.966456202790141,0.195334,744.8400268554688,,,,,,,199.3,4.428888888,199.3,4.428888888,,,,,,,,,,,,,,,,,,,"Triston Casas","22514",671213
"Santiago Espinal","LAD",37.113,137.69,125.84,31.5107,23.4596,5.50948,0.393784,2.1478,15.3208,12.8851,8.63885,0.140104,17.9862,0.831541,1.04309,1.33688,2.81848,1.69598,0.633246,0.250404,0.0627413,0.130629,0.480303,0.300551,0.351647,0.286871,0.652198,0.101244,4.03289,0.275066,,-0.136597,13.342,-2.92712,82.6103,-0.136597,-0.31,-2.974436432123184,0.2627314329147339,0.19125,999,,,,,,,120.4,3.254054054,120.4,3.254054054,,,,,,,,,,,,,,,,,,,"Santiago Espinal","19997",669289
"Hyeseong Kim","LAD",47.48,165.697,153.872,37.4157,27.5381,6.72511,1.14144,2.01111,19.981,14.0503,9.49688,0.285957,38.0317,0.85152,1.08862,0.388179,2.80366,6.25521,1.37043,0.243162,0.0573147,0.229525,0.24971,0.288939,0.340914,0.276382,0.629852,0.0977522,6.45223,0.308087,,0.4416,14.6447,-4.93368,75.4247,0.4416,0,-4.384631156921387,0.7327160239219666,0.19039,735.0800170898438,,,,,,,136.6,2.906382978,136.6,2.906382978,,,,,,,,,,,,,,,,,,,"Hyeseong Kim","35322",808975
"Alek Thomas","ARI",106.053,406.198,373.022,89.8842,59.662,18.8866,2.43929,8.89633,45.985,41.7804,24.0984,0.851773,95.5563,3.38695,2.35183,3.33858,8.43994,7.70425,2.20704,0.240962,0.0593267,0.235246,0.25219,0.291341,0.37622,0.290547,0.667561,0.135258,5.38193,0.298935,,0.0673329,40.5723,-7.42317,83.6347,0.0673329,-2,-7.8114007487893105,-3.862361192703247,0.188311,747.9199829101562,,,,,,,372.7,3.516037735,372.7,3.516037735,,,,,,,,,,,,,,,,,,,"Alek Thomas","23792",677950
"Andrew McCutchen","TEX",48.017,201.989,176.142,39.5545,24.8631,8.15843,0.221749,6.31117,22.5506,22.2997,22.67,0.423151,47.4928,1.56222,1.36088,0.253907,3.62571,1.02342,0.363698,0.22456,0.112234,0.235126,0.477336,0.316191,0.380886,0.307357,0.697076,0.156325,2.76609,0.268744,,-0.265574,22.9321,-0.934424,97.6761,-0.265574,-0.06,-0.818816602230072,-4.294302996248007,0.188154,999,,,,,,,204.5,4.260416666,204.5,4.260416666,,,,,,,,,,,,,,,,,,,"Andrew McCutchen","9847",457705
"Riley Adams","WSN",24.397,91.288,82.3516,16.9068,10.7287,3.38524,0.125194,2.66768,8.43013,10.1128,6.40501,0.0705565,31.3864,1.83555,0.473353,0.222477,1.57279,0.273994,0.108204,0.2053,0.0701627,0.343817,0.20407,0.276146,0.346629,0.27523,0.622775,0.141329,2.67656,0.291959,,-0.114276,7.98293,-2.80345,74.147,-0.114276,-0.17,-2.9114481285214424,1.7124845534563065,0.188072,999,,,,,,,74.1,3.0875,74.1,3.0875,,,,,,,,,,,,,,,,,,,"Riley Adams","19864",656180
"Andruw Monasterio","BOS",37.557,129.918,117.464,27.7528,18.8679,5.12962,0.403158,3.35216,14.3804,13.6953,10.1253,0.0870048,31.6076,1.19878,0.957624,0.172061,1.79761,2.95424,0.970372,0.236266,0.0779364,0.243289,0.320345,0.30118,0.372413,0.295751,0.673594,0.136147,4.74751,0.292356,,-0.00527956,13.5255,-1.82528,84.0793,-0.00527956,-0.12,-2.4431076254695654,-0.20279762893915176,0.186788,999,,,,,,,118.4,3.115789473,118.4,3.115789473,,,,,,,,,,,,,,,,,,,"Andruw Monasterio","19455",655316
