Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
MIN,Twins,12.3823,0,33,33,0,0,,198,800.794,169.001,86.3035,79.0169,28.5857,210.345,47.3316,2.434,8.21725,3.59168,1.09259,9.56115,2.15143,4.44408,1.29935,0.262671,0.0591058,0.20356526598334312,,0.226772,0.277328,0.737491,3.72892,924.1,4.667171717171717,868,4.383838383838384,3.63753,3.80988,0,79.4000015258789,8,AL,Joe Ryan,657746,21390,21390
MIN,Twins,12.4881,0,33,33,0,0,,198,821.088,182.901,89.2058,81.6741,24.4302,193.915,51.6373,2.49568,8.52792,3.71246,1.18454,8.81432,2.34715,3.75533,1.11046,0.236168,0.0628888,0.17327939718961716,,0.240368,0.292071,0.725444,3.69199,899.2,4.541414141414141,883,4.459595959595959,3.61884,3.4853,0,741.530029296875,8,AL,Pablo López,641154,17085,17085
ARI,Diamondbacks,12.358,0,33,33,0,0,,198,805.929,172.257,87.7718,80.3611,21.2458,192.042,64.2362,2.44961,8.81729,3.65278,1.19441,8.72919,2.91983,2.98962,0.965717,0.238287,0.0797046,0.15858203172683716,,0.235043,0.290637,0.719333,3.69711,924.7,4.67020202020202,882,4.454545454545454,3.54905,3.59297,0,735.0399780273438,15,NL,Corbin Burnes,669203,19361,19361
CIN,Reds,12.755,0,33,33,0,0,,198,834.041,182.201,88.2407,80.7905,25.5435,199.227,53.6217,2.53505,8.70101,3.67229,1.19103,9.05577,2.43735,3.71542,1.16107,0.23887,0.0642915,0.17457807809114456,,0.236098,0.286422,0.737683,3.74413,881.2,4.4505050505050505,861,4.348484848484849,3.52439,3.59297,0,121.75,18,NL,Nick Lodolo,666157,26378,26378
KCR,Royals,12.2652,0,33,33,0,0,,198,815.877,180.785,91.2499,83.5457,21.6167,189.296,62.3345,2.47984,8.83728,3.79753,1.22787,8.60434,2.83339,3.03677,0.982575,0.232015,0.0764019,0.1556130200624466,,0.24276,0.298183,0.713484,3.7207,888.9999999999999,4.48989898989899,869,4.388888888888889,3.49227,3.27147,0,193.38999938964844,7,AL,Kris Bubic,663460,21455,21455
LAA,Angels,12.8375,0,33,33,0,0,,198,844.466,184.364,89.2893,81.7506,14.0636,179.163,83.3984,2.56674,9.76941,3.71593,1.35233,8.14377,3.79084,2.14828,0.639253,0.212161,0.0987587,0.1134025827050209,,0.245394,0.305159,0.719437,3.66041,893.6,4.513131313131313,887,4.47979797979798,3.46868,3.4853,0,326.82000732421875,1,AL,José Soriano,667755,22100,22100
TBR,Rays,11.7576,0,33,33,0,0,,198,781.123,175.181,91.0273,83.3418,20.8034,170.283,55.098,2.37421,8.3098,3.78827,1.16302,7.74014,2.50446,3.09055,0.94561,0.217998,0.070537,0.14746079593896866,,0.244081,0.293142,0.692263,3.74171,902.9000000000001,4.56010101010101,868,4.383838383838384,3.44288,3.27147,0,134.67999267578125,12,AL,Drew Rasmussen,656876,25385,25385
BOS,Red Sox,12.3826,0,33,33,0,0,,198,823.1,185.001,91.1256,83.4318,21.855,181.705,58.1868,2.5018,8.76057,3.79235,1.22822,8.25932,2.64485,3.12279,0.993407,0.220757,0.0706923,0.15006472915410995,,0.244661,0.295238,0.715281,3.74901,876.5999999999999,4.427272727272727,867,4.378787878787879,3.43785,3.27147,0,183.47000122070312,3,AL,Ranger Suarez,624133,17277,17277
CHC,Cubs,12.4267,0,33,33,0,0,,198,822.006,183.391,90.268,82.6466,24.0984,185.6,53.1912,2.49847,8.58678,3.75666,1.19486,8.43635,2.41778,3.48929,1.09538,0.225789,0.064709,0.16107957065105438,,0.241231,0.289344,0.721313,3.77864,880.2,4.445454545454545,864,4.363636363636363,3.41914,3.37813,0,592.0499877929688,17,NL,Justin Steele,657006,17312,17312
TOR,Blue Jays,11.7206,0,33,33,0,0,,198,792.261,183.126,94.0664,86.1244,22.5654,174.437,51.0505,2.40806,8.26894,3.91474,1.18271,7.92897,2.32048,3.41695,1.0257,0.220177,0.0644365,0.15574007481336594,,0.249851,0.299587,0.691611,3.75349,877.5000000000002,4.4318181818181825,862,4.353535353535354,3.41062,2.95451,0,410.7200012207031,14,AL,Shane Bieber,669456,19427,19427
WSN,Nationals,11.7418,0,33,33,0,0,,198,786.606,176.809,92.4917,84.6826,22.9452,180.816,53.7313,2.39087,8.31032,3.84921,1.16435,8.21889,2.44233,3.36518,1.04296,0.229868,0.0683078,0.16156024485826492,,0.244021,0.295435,0.69575,3.75524,898.1000000000001,4.535858585858587,867,4.378787878787879,3.40682,3.16532,0,999,24,NL,Alejandro Rosario,691730,sa3023538,sa3023538
BOS,Red Sox,12.5953,0,33,33,0,0,,198,835.505,180.904,90.7607,83.0977,21.6954,197.955,69.8193,2.5395,9.24722,3.77717,1.26628,8.99795,3.1736,2.83525,0.986152,0.236928,0.0835654,0.15336304157972336,,0.239153,0.296595,0.725949,3.75801,882.9999999999999,4.459595959595959,863,4.358585858585859,3.40535,3.27147,0,277.95001220703125,3,AL,Connelly Early,813349,33666,33666
TOR,Blue Jays,12.2615,0,33,33,0,0,,198,808.159,172.479,89.6337,82.0658,24.502,194.449,60.3011,2.45638,8.70608,3.73027,1.17566,8.83858,2.74096,3.22463,1.11373,0.240607,0.0746154,0.16599158197641373,,0.233347,0.284461,0.721223,3.82529,891.5,4.502525252525253,846,4.2727272727272725,3.34385,3.37813,0,114.51000213623047,14,AL,Kevin Gausman,592332,14107,14107
MIA,Marlins,12.0663,0,33,33,0,0,,198,823.687,197.024,95.791,87.7033,24.5903,172.766,44.2955,2.50358,8.30746,3.98651,1.21879,7.853,2.01343,3.9003,1.11774,0.209747,0.0537771,0.15596983954310417,,0.255516,0.30055,0.7034,3.80155,835.5,4.21969696969697,855,4.318181818181818,3.32148,2.74568,0,549.1300048828125,20,NL,Braxton Garrett,666129,21844,21844
DET,Tigers,12.6491,0,33,33,0,0,,198,836.975,175.414,90.3214,82.6956,25.7172,215.022,67.9634,2.54397,9.19825,3.75889,1.22918,9.77373,3.08925,3.16379,1.16897,0.256904,0.0812012,0.17570244520902634,,0.230865,0.288392,0.73807,3.82082,889.4000000000001,4.491919191919193,851,4.297979797979798,3.31867,3.37813,0,211.57000732421875,6,AL,Jack Flaherty,656427,17479,17479
BOS,Red Sox,12.2284,0,33,33,0,0,,198,808.239,168.686,90.1267,82.5172,27.1073,208.884,60.7107,2.45663,8.72025,3.75078,1.15857,9.49475,2.75958,3.44065,1.23215,0.258444,0.0751148,0.1833292618393898,,0.228322,0.281571,0.727462,3.85695,901.6999999999999,4.5540404040404034,847,4.277777777777778,3.31534,3.37813,0,657.0499877929688,3,AL,Payton Tolle,801139,35466,35466
NYM,Mets,12.2504,0,33,33,0,0,,198,814.096,176.876,91.0782,83.3884,19.7913,182.826,70.1219,2.47443,9.07923,3.79038,1.24746,8.31028,3.18736,2.60726,0.899606,0.224576,0.0861346,0.13844100385904312,,0.240682,0.295118,0.71102,3.78786,888,4.484848484848484,859,4.338383838383838,3.29873,3.27147,0,88.3499984741211,25,NL,Nolan McLean,690997,33703,33703
TEX,Rangers,12.8975,0,33,33,0,0,,198,853.885,175.779,90.4193,82.7851,25.7136,223.249,75.0816,2.59537,9.57351,3.76296,1.26697,10.1477,3.4128,2.97342,1.1688,0.261451,0.0879294,0.17352137714624405,,0.228513,0.288439,0.74672,3.85102,878.8000000000001,4.438383838383839,843,4.257575757575758,3.26088,3.37813,0,164.67999267578125,13,AL,MacKenzie Gore,669022,22201,22201
MIA,Marlins,12.2739,0,33,33,0,0,,198,808.109,165.738,89.445,81.8931,28.8369,212.356,59.2445,2.45623,8.67083,3.72241,1.13628,9.65254,2.69293,3.5844,1.31077,0.262781,0.0733125,0.18946880847215652,,0.223912,0.274351,0.73418,3.91248,896.9,4.52979797979798,833,4.207070707070707,3.24374,3.4853,0,80.36000061035156,20,NL,Eury Pérez,691587,27768,27768
PIT,Pirates,12.4787,0,33,33,0,0,,198,830.368,179.168,91.3118,83.6023,26.6106,201.645,59.1621,2.52389,8.85315,3.80011,1.20369,9.16568,2.68919,3.40835,1.20957,0.242838,0.071248,0.17159007489681244,,0.23502,0.285636,0.73116,3.87602,867.6999999999999,4.382323232323232,839,4.237373737373737,3.23772,3.27147,0,703.1099853515625,27,NL,Jared Jones,683003,27863,27863
