Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
STL,Cardinals,8,9,24,31,0,0,,131.7,560,127,65,60,15,111,41,1,6,4.10023,1.27563,7.58542,2.80182,2.70732,1.02506,0.198214,0.0732143,0.1250000074505806,,0.247563,0.289406,0.70068,4.00074,540.8799774169922,4.106909566820695,544.4999847412109,4.134396335295271,1.57975,1.56237,480.17999267578125,28,NL,Matthew Liberatore,669461,22294,22294
HOU,Astros,8,9,23,26,0,0,,136,584,124,68,63,19,139,50,0,10,4.16912,1.27941,9.19853,3.30882,2.78,1.25735,0.238014,0.0856164,0.1523972600698471,,0.236641,0.286885,0.719132,4.23072,548.3000000000001,4.031617647058824,531,3.9044117647058822,1.57535,1.4999,999,21,AL,Ryan Weiss,680802,sa3007778,sa3007778
COL,Rockies,7,10,26,26,0,0,,135,592,154,79,73,20,100,35,1,5,4.86667,1.4,6.66667,2.33333,2.85714,1.33333,0.168919,0.0591216,0.10979730263352394,,0.278986,0.310185,0.68323,4.46847,432.6,3.2044444444444444,495,3.6666666666666665,1.57166,1.53853,999,19,NL,Kyle Freeland,607536,16256,16256
TEX,Rangers,6,6,18,18,0,0,,106,436,96,50,46,14,96,28,1,4,3.90566,1.16981,8.15094,2.37736,3.42857,1.18868,0.220183,0.0642202,0.15596330910921097,,0.237624,0.278912,0.708812,3.94646,458.6,4.326415094339623,444,4.188679245283019,1.56895,1.46512,134.66000366210938,13,AL,Nathan Eovaldi,543135,9132,9132
CLE,Guardians,8,9,26,27,0,1,,139.3,605,138,69,64,18,116,53,0,5,4.13496,1.37114,7.49462,3.42426,2.18868,1.16296,0.191736,0.0876033,0.10413222759962082,,0.252285,0.290557,0.735826,4.3986,512.6200225830078,3.6799713664940876,524.5000152587891,3.765254872707416,1.56709,1.5844,999,5,AL,Logan Allen,671106,27589,27589
NYM,Mets,6,6,21,21,0,0,,96,418,87,49,45,11,105,41,0,6,4.21875,1.33333,9.84375,3.84375,2.56098,1.03125,0.251196,0.0980861,0.1531100496649742,,0.234501,0.298039,0.701599,3.90597,417.90000000000015,4.353125000000001,406,4.229166666666667,1.5623,0.963817,999,25,NL,Tylor Megill,656731,21318,21318
ARI,Diamondbacks,8,8,24,24,0,1,,130,561,131,65,60,18,117,46,1,2,4.15385,1.36154,8.1,3.18462,2.54348,1.24615,0.208556,0.0819964,0.12655971199274063,,0.255361,0.298942,0.737813,4.24283,494,3.8,510,3.923076923076923,1.56122,1.73828,738.0800170898438,15,NL,Eduardo Rodriguez,593958,13164,13164
ATH,Athletics,8,8,24,26,0,0,,108,459,103,54,50,14,97,33,1,5,4.16667,1.25926,8.08333,2.75,2.93939,1.16667,0.211329,0.0718954,0.13943355530500412,,0.244656,0.287097,0.704467,4.07958,439.2,4.066666666666666,438,4.055555555555555,1.56087,1.38548,999,10,AL,Gage Jump,695611,sa3034986,sa3034986
ARI,Diamondbacks,7,5,23,29,0,1,,139.3,579,132,65,60,18,114,38,1,4,3.87653,1.22039,7.3654,2.45513,3,1.16296,0.196891,0.0656304,0.13126078993082047,,0.24581,0.281481,0.725138,4.08273,572.2200225830079,4.107824910602449,568.5000152587891,4.0811199052706355,1.52652,2.27148,256.82000732421875,15,NL,Ryne Nelson,669194,26253,26253
ARI,Diamondbacks,6,5,22,23,0,0,,113.7,482,113,53,49,15,99,27,0,4,3.87863,1.23131,7.83641,2.1372,3.66667,1.18734,0.205394,0.0560166,0.14937759563326836,,0.250554,0.290801,0.731092,3.92669,468.0799774169922,4.116798504665472,478.49998474121094,4.20844325052208,1.52493,1.90612,999,15,NL,Mitch Bratt,683352,sa3017719,sa3017719
,,7,5,21,24,0,0,,109,459,106,55,51,13,84,35,1,3,4.21101,1.29358,6.93578,2.88991,2.4,1.07339,0.183007,0.0762527,0.10675381869077682,,0.251781,0.287037,0.700326,4.19018,425.1,3.9000000000000004,430,3.944954128440367,1.52425,1.29256,999,-1,,Clayton Kershaw,477132,2036,2036
NYM,Mets,8,7,25,25,0,1,,127.3,541,110,58,54,15,125,58,0,4,3.81775,1.31972,8.83739,4.10055,2.15517,1.06049,0.231054,0.107209,0.12384473532438278,,0.229645,0.280236,0.748299,4.1642,539.5200225830079,4.238177609183945,509.50001525878906,4.002356661779779,1.52011,2.01619,233.1699981689453,25,NL,Kodai Senga,673540,31838,31838
PHI,Phillies,9,3,0,66,29,3,,66.7,271,51,21,19,3,81,20,4,4,2.56372,1.06447,10.9295,2.69865,4.05,0.404798,0.298893,0.0738007,0.22509223967790604,,0.206478,0.294479,0.748503,2.37052,571.0799774169923,8.561919093641615,541.4999847412109,8.118440922289752,1.51323,1.50118,41.790000915527344,26,NL,Jhoan Duran,661395,21029,21029
MIL,Brewers,8,7,20,21,0,1,,93.7,392,84,46,43,14,96,29,0,3,4.1302,1.20598,9.22092,2.78549,3.31034,1.34472,0.244898,0.0739796,0.17091836780309677,,0.233333,0.28,0.717345,4.05296,402.7799774169922,4.298612492372641,386.49998474121094,4.124866567014991,1.50731,1.24745,332.8999938964844,23,NL,Logan Henderson,701656,31475,31475
MIN,Twins,5,6,19,21,0,1,,91.7,391,86,46,43,12,93,32,0,4,4.22028,1.2868,9.12759,3.14068,2.90625,1.17775,0.237852,0.0818414,0.1560102328658104,,0.242254,0.296,0.711462,3.98574,389.3799774169921,4.246237626777328,384.49998474121094,4.193020692882166,1.49142,1.06297,999,8,AL,David Festa,701581,30056,30056
