Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CIN,Reds,11,12,31,31,0,0,,163,695,154,85,79,23,157,53,,11,4.39024,1.26829,8.67073,2.90854,2.98113,1.2622,0.225714,0.0757143,0.1499999836087227,,0.243711,0.29011,0.69397,4.20221,644.9000000000002,3.9564417177914124,638,3.914110429447853,2.40124,2.14671,367.80999755859375,18,NL,Brady Singer,663903,25377,25377
PIT,Pirates,10,11,31,31,0,0,,171,730,167,83,76,20,149,51,,12,4.02484,1.27329,7.82609,2.68323,2.91667,1.06211,0.203488,0.0697674,0.13372093439102173,,0.249603,0.293617,0.711883,4.02955,694.2,4.059649122807018,704,4.116959064327485,2.3998,2.61835,532.8400268554688,27,NL,Mitch Keller,656605,17594,17594
PHI,Phillies,9,3,0,70,29,3,,70,284,54,22,20,3,85,21,,4,2.56372,1.06447,10.9295,2.69865,4.05,0.404798,0.298893,0.0738007,0.22509226948022842,,0.206478,0.294479,0.748503,2.37052,592.7,8.467142857142857,563,8.042857142857143,2.39518,2.41131,41.790000915527344,26,NL,Jhoan Duran,661395,21029,21029
NYM,Mets,8,8,29,29,0,0,,157,682,150,76,71,14,143,62,,8,4.06849,1.35616,8.19863,3.57534,2.2931,0.80137,0.209119,0.091195,0.1179245114326477,,0.245184,0.298824,0.70634,3.80637,675.5999999999999,4.303184713375796,679,4.32484076433121,2.38295,2.00895,485.54998779296875,25,NL,David Peterson,656849,20302,20302
NYY,Yankees,11,9,28,28,0,0,,148,623,130,72,67,18,150,54,,6,4.03712,1.23743,9.11833,3.27146,2.78723,1.11369,0.241252,0.0865562,0.15469612181186676,,0.230143,0.281977,0.704942,3.924,655.8000000000001,4.431081081081081,626,4.22972972972973,2.38109,1.83559,199.94000244140625,9,AL,Carlos Rodón,607074,16137,16137
TEX,Rangers,10,9,28,28,0,0,,147,613,124,71,66,17,138,58,,5,4.04698,1.24161,8.45638,3.56376,2.37288,1.02685,0.224719,0.094703,0.1300160437822342,,0.225403,0.271144,0.700993,4.02775,643.3,4.376190476190476,601,4.08843537414966,2.3665,1.85615,231.22000122070312,13,AL,Jack Leiter,683004,30146,30146
BAL,Orioles,9,7,28,28,0,0,,143,605,138,68,63,17,124,44,,4,3.94615,1.26923,7.82308,2.76923,2.825,1.03846,0.205829,0.0728597,0.13296903669834137,,0.247525,0.291777,0.715278,3.91206,594.3,4.1559440559440555,598,4.181818181818182,2.35933,1.91547,148.9499969482422,2,AL,Trevor Rogers,669432,22286,22286
SEA,Mariners,11,9,31,31,0,0,,177,734,162,81,74,24,163,50,,7,3.77079,1.19532,8.26248,2.55083,3.23913,1.21996,0.221726,0.0684524,0.1532737985253334,,0.23871,0.280624,0.735294,4.02238,748.3999999999999,4.22824858757062,728,4.112994350282486,2.35188,2.2415,171.25999450683594,11,AL,Luis Castillo,622491,15689,15689
LAD,Dodgers,6,5,24,24,0,0,,127,517,102,58,53,17,148,47,,1,3.76068,1.17759,10.5128,3.33333,3.15385,1.19658,0.286047,0.0906977,0.1953488290309906,,0.217949,0.280632,0.727969,3.66695,617.5000000000002,4.862204724409451,566,4.456692913385827,2.35097,2.17508,117.62000274658203,22,NL,Tyler Glasnow,607192,14374,14374
NYM,Mets,11,9,28,28,0,0,,151,660,153,71,66,12,121,52,,9,3.90441,1.35294,7.21324,3.11029,2.31915,0.727941,0.183811,0.079258,0.10455311834812164,,0.254647,0.301435,0.711744,3.7969,631.0000000000002,4.178807947019869,658,4.357615894039735,2.34575,2.15501,348.3699951171875,25,NL,Clay Holmes,605280,13649,13649
KCR,Royals,10,11,29,29,0,0,,159,665,154,78,72,19,121,46,,4,4.10204,1.26531,6.85714,2.63265,2.60465,1.10204,0.181818,0.0698052,0.11201298236846924,,0.251318,0.284738,0.708955,4.16235,634.5000000000001,3.99056603773585,640,4.0251572327044025,2.33112,2.23351,613.02001953125,7,AL,Michael Wacha,608379,14078,14078
CIN,Reds,9,8,28,28,0,0,,148,629,134,75,70,20,151,40,,20,4.24466,1.17907,9.15254,2.45394,3.72973,1.19381,0.24,0.0643478,0.1756521686911583,,0.236538,0.288462,0.675074,4.04155,622.8000000000001,4.208108108108108,602,4.0675675675675675,2.32532,2.16314,121.75,18,NL,Nick Lodolo,666157,26378,26378
CIN,Reds,7,6,19,27,0,1,,99,413,87,46,42,13,117,27,,0,3.78223,1.14613,10.5731,2.40688,4.39286,1.20344,0.282759,0.0643678,0.2183908075094223,,0.226044,0.288889,0.717131,3.32616,503.50000000000006,5.0858585858585865,483,4.878787878787879,2.30089,1.74801,105,18,NL,Chase Burns,695505,35333,35333
SDP,Padres,3,1,0,66,32,2,,66,256,37,19,18,6,108,24,,2,2.47974,0.923825,14.7326,3.20908,4.59091,0.875203,0.422594,0.0920502,0.3305439278483391,,0.162791,0.268519,0.802469,2.29235,624.4000000000001,9.460606060606063,558,8.454545454545455,2.29791,2.37875,28.479999542236328,29,NL,Mason Miller,695243,31757,31757
MIN,Twins,7,8,28,28,0,0,,150,618,145,76,70,23,135,35,,5,4.22449,1.19728,8.08163,2.08163,3.88235,1.40816,0.217822,0.0561056,0.16171616688370705,,0.250441,0.288835,0.702364,4.16915,600.1,4.000666666666667,601,4.006666666666667,2.2589,1.69271,431.739990234375,8,AL,Bailey Ober,641927,21224,21224
LAD,Dodgers,8,6,24,42,0,1,,134,552,109,64,59,18,154,47,,6,3.98864,1.17045,10.3295,3.17045,3.25806,1.22727,0.278237,0.0853994,0.19283747673034668,,0.219512,0.27907,0.707657,3.80559,639.8,4.7746268656716415,589,4.395522388059701,2.23561,1.77158,110.3499984741211,22,NL,Emmet Sheehan,686218,29839,29839
ARI,Diamondbacks,10,9,29,29,0,0,,160,678,161,79,73,21,146,35,,8,4.12429,1.22411,8.19209,1.9774,4.14286,1.18644,0.215134,0.0519288,0.16320474818348885,,0.253566,0.298925,0.700483,3.83821,670.1,4.188125,690,4.3125,2.2072,2.24139,626.1199951171875,15,NL,Brandon Pfaadt,694297,27782,27782
CHW,White Sox,7,8,29,29,0,0,,151,627,127,72,67,18,146,55,,12,3.98065,1.2094,8.70767,3.29648,2.64151,1.05736,0.232558,0.0880399,0.14451827853918076,,0.227188,0.276316,0.701058,4.07501,656.8000000000002,4.3496688741721865,612,4.052980132450331,2.19688,2.13118,246.27000427246094,4,AL,Shane Smith,681343,31687,31687
CLE,Guardians,10,7,31,31,0,0,,160,672,136,69,64,19,163,66,,5,3.59281,1.26414,9.22156,3.71257,2.48387,1.07784,0.243286,0.0979463,0.14533964544534683,,0.226148,0.279188,0.758495,3.98011,709.6999999999999,4.435625,666,4.1625,2.18485,2.92662,143.5500030517578,5,AL,Gavin Williams,668909,30122,30122
NYY,Yankees,8,6,23,23,0,0,,137,563,121,64,60,19,132,39,,5,3.91304,1.16522,8.68696,2.58261,3.36364,1.25217,0.235169,0.0699153,0.16525422781705856,,0.232184,0.275974,0.716846,3.97861,597.5000000000001,4.36131386861314,570,4.160583941605839,2.17559,1.97911,238.72000122070312,9,AL,Gerrit Cole,543037,13125,13125
ATH,Athletics,10,10,29,29,0,0,,157,658,153,77,72,23,134,49,,2,4.11972,1.28169,7.66901,2.78873,2.75,1.33099,0.203361,0.0739496,0.12941177189350128,,0.251366,0.287469,0.733945,4.32528,596.0999999999999,3.796815286624203,601,3.828025477707006,2.16875,2.19231,728.0900268554688,10,AL,Jeffrey Springs,605488,17677,17677
SDP,Padres,9,9,28,28,0,0,,156,661,148,72,67,19,139,41,,15,3.8699,1.21279,8.03749,2.38148,3.375,1.09151,0.210937,0.0625,0.1484374850988388,,0.245014,0.289575,0.718816,4.01717,645.9000000000001,4.140384615384616,643,4.121794871794871,2.14701,2.33611,302.9100036621094,29,NL,Joe Musgrove,605397,12970,12970
ATH,Athletics,9,11,29,29,0,0,,169,728,169,91,84,21,132,52,,12,4.458,1.30653,7.04235,2.77818,2.53488,1.09835,0.18197,0.0717863,0.11018364131450653,,0.254579,0.290476,0.676359,4.29809,624.9000000000002,3.6976331360946757,644,3.8106508875739644,2.14453,1.54879,667.5499877929688,10,AL,Luis Severino,622663,15890,15890
