Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CHC,Cubs,148.748,562.75,641.594,142.794,91.0383,27.8952,1.16974,22.6904,80.5553,79.334,65.6263,1.75707,89.8658,7.98537,4.58857,0.644497,11.8532,2.28867,0.925455,0.253743,0.337632,0.428431,0.766063,0.333656,0.102286,0.140066,0.730269,0.174688,2.90244,0.26409,-0.586675,,86.5408,10.7315,1.28796,-0.996622,-1.5833,3.50568,8.966707587242126,3.5834439992904663,113.913,763.9,5.126845637,763.9,5.126845637,1.92104,0.107683,0.747019,1.92104,-0.107683,4.00397,119.19999694824219,0.00877193,3B,/players/alex-bregman/17678/stats/batting,17,NL,Alex Bregman,608324,17678,17678
PHI,Phillies,140.07,522.76,606.406,142.286,83.7127,31.6526,0.580277,26.3406,82.2803,84.3217,74.4531,7.61128,129.286,4.59738,4.2182,0.377262,9.87372,9.35133,3.41483,0.272182,0.365225,0.486114,0.851338,0.363662,0.122778,0.213201,0.575878,0.213931,3.59658,0.312226,0.351324,,96.5676,24.916,0.784079,-0.552427,-0.201103,3.44233,23.58471690118313,-10.114783227443695,133.095,860.8,6.148571428,860.8,6.148571428,2.30332,-1.57918,0.568756,2.30332,1.57918,4.24166,47.7400016784668,0.01515152,OF,/players/bryce-harper/11579/stats/batting,26,NL,Bryce Harper,547180,11579,11579
SFG,Giants,145.598,532.904,613.95,126.802,73.4765,27.7205,2.05534,23.5496,81.3737,74.0407,70.2457,1.15383,151.531,6.71139,3.89575,0.192364,8.07721,8.69849,2.63788,0.237945,0.331986,0.430249,0.762236,0.332026,0.114416,0.246813,0.463575,0.192304,4.39182,0.285448,-0.193959,,81.9993,9.45645,1.31342,-0.326055,-0.520014,3.38673,8.762773334980011,3.560312032699585,112.793,736.1,5.041780821,736.1,5.041780821,2.2074,-0.803142,0.735714,2.2074,0.803142,4.01905,164.55999755859375,0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
TOR,Blue Jays,122.277,427.833,484.044,114.237,79.16,19.4995,0.246132,15.3316,52.2784,63.33,47.1829,1.74539,60.3705,3.59065,5.21701,0.220879,12.2209,0.927487,0.174256,0.267013,0.341056,0.421248,0.762303,0.331694,0.0974764,0.124721,0.781555,0.154234,1.76936,0.276777,-1.3791,,64.5187,7.32518,1.95204,-0.73212,-2.11122,3.35941,5.670029878616333,10.504777550697327,113.639,561.4,4.601639344,561.4,4.601639344,2.211,0.504149,0.793651,2.211,-0.504149,3.9418,158.9499969482422,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
SFG,Giants,151.911,570.421,649.765,132.06,77.6088,26.5116,1.20963,26.7294,84.1242,84.2125,69.8063,1.82037,165.4,3.74943,5.59168,0.196222,7.73118,11.4993,3.43661,0.231512,0.316541,0.422808,0.73935,0.320754,0.107433,0.254553,0.422047,0.191296,4.33499,0.27438,-0.0760856,,80.8363,4.06158,-0.327255,-0.0934056,-0.169491,3.31542,3.7082968652248383,6.705670773983002,105.049,741.5,4.878289473,741.5,4.878289473,2.94807,0.0546205,1.10775,2.94807,-0.0546205,3.52301,131.00999450683594,0.00628931,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
KCR,Royals,150.148,577.606,640.705,154.801,106.757,31.586,4.10927,12.3483,82.9822,65.4665,53.1855,0.429487,95.2592,1.59928,5.2496,3.06506,11.2053,26.1175,6.82216,0.268005,0.32869,0.401053,0.729743,0.318656,0.0830108,0.148679,0.558324,0.133048,6.12982,0.299744,0.482556,,78.618,2.91376,3.49108,1.3661,1.84866,3.29151,4.581188678741455,5.9057393074035645,103.608,713.2,4.754666666,713.2,4.754666666,2.90819,-0.559053,1.06456,2.90819,0.559053,3.58059,65.11000061035156,0.03389831,3B,/players/maikel-garcia/22715/stats/batting,7,AL,Maikel Garcia,672580,22715,22715
BAL,Orioles,137.674,491.908,559.523,123.609,80.2861,25.4307,1.05578,16.8361,64.4572,64.4539,60.1225,1.81522,89.1247,2.8969,4.35146,0.243665,9.85812,0.855019,0.305547,0.251284,0.333694,0.409953,0.743647,0.324807,0.107453,0.159287,0.674588,0.158669,2.35848,0.273566,-0.343521,,71.4506,5.33868,1.17896,-0.888195,-1.23172,3.22894,5.188565254211426,7.113200306892395,109.736,631.3,4.574637681,631.3,4.574637681,2.59957,-1.30536,0.421457,2.59957,1.30536,4.43806,151.0500030517578,0.1978022,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
ARI,Diamondbacks,109.134,378.587,425.373,104.357,73.153,19.6562,1.13506,10.4125,51.2159,52.1866,40.0161,1.99305,73.5759,3.26175,3.28017,0.228617,9.27339,4.13878,1.6306,0.275648,0.347258,0.416076,0.763333,0.332789,0.094073,0.172968,0.543876,0.140427,3.50421,0.315378,0.24085,,57.0764,6.81521,3.54883,-0.595483,-0.354633,3.19489,5.983507394790649,11.090945959091187,112.572,492.1,4.514678899,492.1,4.514678899,1.45307,0.900858,0.968129,1.45307,-0.900858,3.70916,180.82000732421875,0.09638554,C,/players/gabriel-moreno/22664/stats/batting,15,NL,Gabriel Moreno,672515,22664,22664
NYM,Mets,140.697,567.721,614.242,162.147,112.45,30.5684,1.60656,17.5214,75.9543,77.7884,38.8359,1.2142,100.446,3.52659,3.64668,0.512344,13.8521,5.62635,2.29258,0.28561,0.333223,0.437702,0.770925,0.333545,0.0632258,0.163529,0.386634,0.152092,3.56558,0.318979,0.257226,,82.796,10.2185,0.382681,-0.827591,-0.570366,3.19216,9.474398016929626,0.937044084072113,113.836,744.5,5.280141843,744.5,5.280141843,2.32465,-1.23497,1.10852,2.32465,1.23497,3.52197,94.25,0.05035971,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
ATH,Athletics,138.188,534.199,578.57,156.999,114.732,30.2155,1.38395,10.668,71.7433,64.4702,31.6419,0.760534,51.1755,7.1521,3.08159,2.49632,15.8415,5.91678,1.87477,0.293897,0.339875,0.415551,0.755426,0.329412,0.0546897,0.0884516,0.618301,0.121654,3.87294,0.307783,-0.056784,,76.0459,7.68339,-1.72349,-0.592902,-0.649686,3.17461,6.8700520396232605,4.577166557312012,110.997,664.1,4.81231884,664.1,4.81231884,2.36117,-0.00703323,1.46967,2.36117,0.00703323,3.04044,193.58999633789062,0.008,SS,/players/jacob-wilson/33266/stats/batting,10,AL,Jacob Wilson,805779,33266,33266
