Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Everson Pereira","CHW",50,217,195,44,28,7,1,8,27,25,18,0,70,3,1,0,,4,1,0.226676,0.0813236,0.320845,0.253467,0.298443,0.395859,0.303536,0.694302,0.169183,5.11693,0.304549,-0.0647534,-0.0368646,23.9631,-1.67716,93.381,-0.101618,-0.936461,-1.7944976389408112,-2.561460852622986,0.318481,999,,,,,,,220.4,4.408,220.4,4.408,,,,,,,,,,,,,,,,,,,"Everson Pereira","23695",677592
"Connor Wong","BOS",53,211,192,47,31,10,1,5,23,21,15,0,52,3,1,1,,3,1,0.244298,0.068688,0.243888,0.281637,0.304692,0.379348,0.299838,0.68404,0.13505,4.28802,0.307308,-0.102645,-0.288328,22.6884,-2.26647,86.8946,-0.390973,-2.75983,-3.653227686882019,1.3651657104492188,0.315245,999,,,,,,,209.8,3.958490566,209.8,3.958490566,,,,,,,,,,,,,,,,,,,"Connor Wong","19896",657136
"Reese McGuire","MIL",24,96,88,20,14,4,0,2,9,11,6,0,22,1,1,1,,1,0,0.225912,0.0586597,0.226827,0.25861,0.275739,0.351053,0.2745,0.626792,0.125141,3.16418,0.269643,-0.0938415,-0.053686,8.33801,-3.00513,73.2753,-0.147527,0.430891,-3.1798076927661896,2.305891305208206,0.314477,999,,,,,,,77.3,3.220833333,77.3,3.220833333,,,,,,,,,,,,,,,,,,,"Reese McGuire","15674",624512
"Max Kepler",,29,126,112,27,17,5,0,4,15,15,11,0,26,1,1,0,,1,0,0.237129,0.0903717,0.204327,0.44229,0.311818,0.409713,0.313837,0.721531,0.172584,3.77797,0.266912,-0.114778,-0.0731803,14.9679,0.0799804,100.298,-0.187958,0.269787,-0.14361799135804176,-1.080213040113449,0.311087,999,,,,,,,129.2,4.455172413,129.2,4.455172413,,,,,,,,,,,,,,,,,,,"Max Kepler","12144",596146
"Carlos Cortes","ATH",34,147,132,31,19,7,0,5,17,17,13,0,31,1,1,0,,1,0,0.238604,0.0881823,0.212831,0.41433,0.308684,0.403893,0.310607,0.712577,0.165289,2.93682,0.276608,-0.0462877,-0.226954,17.077,-0.292148,95.6901,-0.273242,0.564926,-1.0199622809886932,-1.0100743770599365,0.309952,999,,,,,,,152.8,4.494117647,152.8,4.494117647,,,,,,,,,,,,,,,,,,,"Carlos Cortes","21842",666126
"César Salazar","HOU",24,96,83,17,12,3,0,2,10,10,9,0,20,3,1,0,,1,0,0.208551,0.0900342,0.205801,0.437481,0.303413,0.321212,0.282221,0.624625,0.11266,3.44615,0.247259,-0.0155016,-0.129703,8.93985,-2.40329,79.5307,-0.145205,-0.00788517,-2.4612512439489365,1.8671148251742125,0.308679,999,,,,,,,77.6,3.233333333,77.6,3.233333333,,,,,,,,,,,,,,,,,,,"Cesar Salazar","21587",663967
"Nathan Church","STL",41,175,159,40,30,7,1,3,20,18,11,0,24,2,1,1,,4,1,0.253333,0.0645401,0.138629,0.465559,0.309555,0.359135,0.294529,0.66869,0.105802,5.00191,0.281144,-0.00316132,0.0119479,18.0453,-2.6323,89.4947,0.0087866,0.225201,-2.170121750794351,-0.6497994959354401,0.30718,999,,,,,,,163,3.975609756,163,3.975609756,,,,,,,,,,,,,,,,,,,"Nathan Church","31357",701675
"Jasson Domínguez","NYY",23,98,87,22,15,4,0,3,13,11,9,0,25,1,1,0,,5,1,0.250036,0.0961709,0.250085,0.384554,0.324792,0.40367,0.318426,0.728462,0.153634,5.74849,0.311713,0.00293443,0.336131,12.0068,0.427359,105.024,0.339066,-0.348819,0.9193495810031891,-1.2988194823265076,0.306276,351.7099914550781,,,,,,,112.7,4.9,112.7,4.9,,,,,,,,,,,,,,,,,,,"Jasson Dominguez","28080",691176
"Ronny Mauricio","NYM",28,119,110,27,18,5,0,4,14,14,8,1,29,1,1,0,,3,1,0.244127,0.063448,0.247531,0.256323,0.296517,0.40209,0.300952,0.698607,0.157963,4.72122,0.296471,-0.00216475,0.0650034,12.8914,-1.1694,95.0477,0.0628386,0.46147,-0.6356338635087013,-0.363529771566391,0.302845,999,,,,,,,123.2,4.4,123.2,4.4,,,,,,,,,,,,,,,,,,,"Ronny Mauricio","23698",677595
"Nick Loftin","KCR",26,112,98,24,16,5,0,2,13,11,11,0,18,1,1,0,,2,1,0.242785,0.100884,0.157957,0.638679,0.326881,0.36717,0.308291,0.694051,0.124386,4.39566,0.272911,-0.0154261,-0.077872,12.8004,-0.433239,93.897,-0.0932981,0.34049,-0.8989196419715881,-0.05950966477394104,0.296341,999,,,,,,,106.7,4.103846153,106.7,4.103846153,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
