Team,ShortName,ProjTeam,ProjAbbName,ProjShortName,ProjLeague,ProjTeamid,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,wRC+,WAR,FPTS,FPTS_G,SPTS,SPTS_G,woba_sd,truetalent_sd,woba_sd_book,woba_se,total_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,DET,DET,Tigers,AL,6,99.23999786376953,383.5972900390625,430.8055419921875,102.45700073242188,58.96609878540039,20.58169937133789,1.8946000337600708,21.01460075378418,57.035701751708984,64.70079803466797,40.36650085449219,1.7231999635696411,114.50379943847656,3.4463999271392822,2.8931000232696533,0.5022000074386597,2.691200017929077,0.8313000202178955,0.26709521519817947,0.09370005006858574,0.26578998707624113,0.3525341608963928,0.33992280474353537,0.4949766475804823,0.8348994523240176,0.22788143238230285,0.3245079262462737,0.35658767492714966,15.226525831777842,66.12952090313445,129.9329347332599,,592.4096518397331,5.969464576701785,592.4096518397331,5.969464576701785,,,,,,,,,,,,,,,,,,,,,,,,78.26000213623047,0.1402439,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
NYY,Yankees,NYA,NYY,Yankees,AL,9,83,312.5376892089844,357.7914733886719,78.53730010986328,42.983699798583984,15.129300117492676,1.6800999641418457,18.744199752807617,49.452701568603516,53.734901428222656,37.56809997558594,0,74.04019927978516,4.651299953460693,2.3994998931884766,0.6348999738693237,3.1651999950408936,0.9940999746322632,0.2512890535174713,0.1049999867793814,0.20693673490467634,0.5074013892591315,0.33810576018339794,0.49037093518262204,0.82847669536602,0.23908188166515076,0.26915304704626025,0.35575078145552,12.402782347362466,54.67860248248798,130.73543182328956,,486.80680906772614,5.865142277924411,486.80680906772614,5.865142277924411,,,,,,,,,,,,,,,,,,,,,,,,53.09000015258789,0.35820896,1B/DH,/players/ben-rice/29576/stats/batting,9,AL,Ben Rice,700250,29576,29576
TBR,Rays,TBA,TBR,Rays,AL,12,85.16000366210938,338.49530029296875,368.2320556640625,90.40869903564453,51.705101013183594,15.777799606323242,0.6624000072479248,22.263399124145508,49.392799377441406,61.68239974975586,23.935100555419922,0,73.79199981689453,2.9458999633789062,2.5078001022338867,0.3479999899864197,3.5931999683380127,1.079300045967102,0.2670899683316002,0.06500004599614727,0.2003953721080026,0.32435901743836504,0.31882242060213856,0.5149303301797614,0.8337527507819,0.24784036184816122,0.2782034675440755,0.3546359882543103,12.431414338911548,55.94086973705775,127.9570336473896,,511.04870634078975,6.001041385208077,511.04870634078975,6.001041385208077,,,,,,,,,,,,,,,,,,,,,,,,16.56999969482422,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
CHC,Cubs,CHN,CHC,Cubs,NL,17,93.77999877929688,364.47760009765625,419.23138427734375,91.99240112304688,51.00809860229492,18.054399490356445,2.585200071334839,20.34469985961914,60.03369903564453,54.21889877319336,45.277000427246094,1.676900029182434,102.30889892578125,5.030799865722656,2.6840999126434326,1.7618999481201172,2.9447999000549316,0.7361999750137329,0.25239521193730124,0.10800002606029362,0.2440392173933679,0.44255192757075557,0.34086370695977175,0.48357237094478517,0.824436077904557,0.23117715900748392,0.29302792383768894,0.3534012548692506,13.732864209204642,63.268283342727834,129.46863060036702,,563.4705845594407,6.008430282511733,563.4705845594407,6.008430282511733,,,,,,,,,,,,,,,,,,,,,,,,106.31999969482422,0.0130719,1B,/players/michael-busch/26319/stats/batting,17,NL,Michael Busch,683737,26319,26319
CIN,Reds,CIN,CIN,Reds,NL,18,97.69999694824219,377.03228759765625,431.7653503417969,99.19670104980469,57.12810134887695,20.230199813842773,4.5218000411987305,17.316600799560547,60.733299255371094,58.57310104370117,47.580501556396484,4.7494001388549805,105.26740264892578,3.4540998935699463,3.147700071334839,0.550599992275238,29.410200119018555,7.033699989318848,0.2630986902523871,0.11019990723834254,0.24380697192489698,0.451996537950887,0.3483910477303619,0.4785274636503636,0.8269185113807255,0.2154287733979765,0.3178624872511753,0.35241865560487934,13.798989840685012,64.81539366593944,122.12315811506731,,614.9759500980376,6.294533974487521,614.9759500980376,6.294533974487521,,,,,,,,,,,,,,,,,,,,,,,,8.420000076293945,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
ATH,Athletics,OAK,ATH,Athletics,AL,10,86.86000061035156,336.60888671875,377.8322448730469,88.31600189208984,50.44499969482422,18.151199340820312,0.8689000010490417,18.850799560546875,50.764198303222656,56.47909927368164,34.26940155029297,1.511299967765808,83.07510375976562,3.7783000469207764,2.7597999572753906,0.41589999198913574,4.204800128936768,1.3133000135421753,0.26236978694469626,0.09070004483552647,0.2198729856624047,0.41251108935587144,0.33481244433355056,0.48946211203110834,0.824274556364659,0.22709232508641208,0.2925555426440449,0.3522191868868896,12.014126821706622,56.657918565038194,124.35498387503054,,511.2044328391552,5.885383712261133,511.2044328391552,5.885383712261133,,,,,,,,,,,,,,,,,,,,,,,,82.93000030517578,0.00632911,1B/OF,/players/tyler-soderstrom/27467/stats/batting,10,AL,Tyler Soderstrom,691016,27467,27467
BAL,Orioles,BAL,BAL,Orioles,AL,2,103.98999786376953,403.3825988769531,456.1540832519531,102.30239868164062,57.4833984375,19.4685001373291,0.7527999877929688,24.597700119018555,61.60749816894531,70.40399932861328,39.09239959716797,0.4562000036239624,104.39540100097656,10.035400390625,3.2611000537872314,0.38260000944137573,2.0822999477386475,0.5770999789237976,0.2536113331771327,0.08569998829885644,0.2288599506919564,0.37446476781867316,0.3322502592390072,0.4885426384287959,0.8207928976678032,0.23493130525166322,0.2798650504458408,0.3522168395524574,14.503697380415682,68.40181796674378,128.61718046426694,,611.2027151107789,5.877514450105821,611.2027151107789,5.877514450105821,,,,,,,,,,,,,,,,,,,,,,,,24.440000534057617,0.01234568,1B,/players/pete-alonso/19251/stats/batting,2,AL,Pete Alonso,624413,19251,19251
CHW,White Sox,CHA,CHW,White Sox,AL,4,106.13999938964844,389.2330017089844,458.06341552734375,92.08159637451172,51.16669845581055,13.701600074768066,0.8147000074386597,26.39859962463379,61.352500915527344,69.54550170898438,61.38050079345703,5.038700103759766,129.4199981689453,4.122600078582764,2.9972000122070312,0.33009999990463257,7.214000225067139,2.8194000720977783,0.23657191443226555,0.13400000679555027,0.2825372945795093,0.4742736954248038,0.3442718638861865,0.47942593846581966,0.8236978023520062,0.2428540240335541,0.2778332182458761,0.3519282934496598,14.457094333942232,68.58081724412706,126.71683227712076,,621.2707875609397,5.853314406760121,621.2707875609397,5.853314406760121,,,,,,,,,,,,,,,,,,,,,,,,999,0,1B,/players/munetaka-murakami/sa3063258/stats/batting,4,AL,Munetaka Murakami,808959,sa3063258,sa3063258
LAD,Dodgers,LAN,LAD,Dodgers,NL,22,93.72000122070312,369.6231994628906,419.7179260253906,100.16239929199219,63.216400146484375,19.35110092163086,2.205899953842163,15.388999938964844,58.84370040893555,55.41170120239258,42.81119918823242,0,50.67530059814453,3.3577001094818115,2.9647998809814453,0.9609000086784363,6.0467000007629395,1.4276000261306763,0.27098515308979754,0.10199993027136654,0.12073656485922632,0.8448139168966261,0.3494421203910751,0.4601775588066378,0.8096196791977128,0.18919240571684026,0.27656393186899986,0.3507666772878464,12.85101422262104,62.443922013528514,126.38076114757308,,550.6328062295912,5.875296618198872,550.6328062295912,5.875296618198872,,,,,,,,,,,,,,,,,,,,,,,,59.36000061035156,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
LAA,Angels,LAA,LAA,Angels,AL,1,98.20999908447266,373.86968994140625,435.7530517578125,102.14830017089844,69.76519775390625,18.18320083618164,0.927299976348877,13.272600173950195,54.81340026855469,49.96540069580078,51.81100082397461,2.614500045776367,58.884498596191406,6.100500106811523,3.094899892807007,0.8769000172615051,4.889500141143799,1.2997000217437744,0.2732189929248005,0.11889991502060823,0.13513272794912945,0.8798750445219159,0.36805840675241563,0.43331648542171625,0.8013748921741319,0.16009749249691574,0.29157977609633695,0.34992986061289383,13.045923763967588,64.53350524535617,124.41923814897852,,560.3255179405211,5.705381561592037,560.3255179405211,5.705381561592037,,,,,,,,,,,,,,,,,,,,,,,,581.9099731445312,0,1B,/players/nolan-schanuel/33189/stats/batting,1,AL,Nolan Schanuel,694384,33189,33189
