Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
LAD,Dodgers,136,520,597,150,89,37,2,22,82,82,64,8,110,8,5,0,10,8,2,0.288462,0.371859,0.494231,0.86609,0.369013,0.107203,0.184255,0.581818,0.205769,4.22873,0.3257,,,97.6632,27.123,-1,-0.229091,-0.229091,3.5989,27.281037211418152,-11.967813491821289,138.88,871.1,6.405147058,871.1,6.405147058,66.7699966430664,0,1B,/players/freddie-freeman/5361/stats/batting,22,NL,Freddie Freeman,518692,5361,5361
WSN,Nationals,152,571,656,150,87,34,3,26,88,93,79,5,194,3,3,0,8,15,6,0.262697,0.353659,0.469352,0.823011,0.353913,0.120427,0.295732,0.407216,0.206655,4.994,0.350282,,,99.2728,21.7614,-0.7,-0.539778,-0.539778,3.59741,21.266711473464966,-7.931040465831757,128.047,886.8,5.834210526,886.8,5.834210526,35.869998931884766,0.21153846,OF,/players/james-wood/29518/stats/batting,24,NL,James Wood,695578,29518,29518
SFG,Giants,121,387,430,89,62,16,2,9,45,46,34,0,112,2,5,2,9,2,0,0.229974,0.292056,0.351421,0.643477,0.283179,0.0790698,0.260465,0.303571,0.121447,3.82142,0.295203,,,40.3775,-10.4303,21.7,-0.246964,-0.246964,3.52649,-9.438185334205627,29.59976577758789,81.9652,365.6,3.021487603,365.6,3.021487603,747.1199951171875,0,C,/players/patrick-bailey/27478/stats/batting,30,NL,Patrick Bailey,672275,27478,27478
HOU,Astros,141,543,593,146,102,26,2,16,73,66,34,1,107,11,3,2,10,16,4,0.268877,0.323181,0.412523,0.735704,0.320486,0.0573356,0.180438,0.317757,0.143646,5.18953,0.307329,,,73.6452,3.57772,2.7,0.598086,0.598086,3.5156,4.714721620082855,9.23659634590149,105.89,666,4.723404255,666,4.723404255,118.41999816894531,0.01587302,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
BOS,Red Sox,150,580,643,150,85,39,9,17,86,75,51,1,148,8,3,1,5,23,5,0.258621,0.325545,0.444828,0.770373,0.332415,0.0793157,0.230171,0.344595,0.186207,7.28134,0.318182,,,86.0822,10.1068,10.6,1.60837,1.60837,3.51206,8.683517336845398,3.5122580528259277,109.336,790.9,5.272666666,790.9,5.272666666,65.77999877929688,0.00588235,OF,/players/jarren-duran/24617/stats/batting,3,AL,Jarren Duran,680776,24617,24617
PIT,Pirates,128,532,591,139,97,25,3,14,101,76,35,1,152,19,3,2,6,32,10,0.261278,0.327674,0.398496,0.72617,0.318711,0.0592217,0.257191,0.230263,0.137218,7.33905,0.338753,,,72.5453,2.71411,5,1.31458,1.31458,3.46975,2.7359522581100464,11.51455020904541,102.029,662.4,5.175,662.4,5.175,999,0,SS,/players/konnor-griffin/sa3065496/stats/batting,27,NL,Konnor Griffin,804606,sa3065496,sa3065496
MIN,Twins,116,424,473,106,56,22,4,24,75,67,37,3,130,8,4,0,2,14,0,0.25,0.319239,0.490566,0.809805,0.343577,0.0782241,0.274841,0.284615,0.240566,7.38147,0.29927,,,67.61,11.7214,2,2.15304,2.15304,3.43553,13.560981512069702,3.7379482984542847,120.463,643.4,5.546551724,643.4,5.546551724,72.62000274658203,0.06349206,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
BOS,Red Sox,148,542,582,143,91,31,4,17,83,75,27,0,122,8,3,2,10,20,7,0.263838,0.306897,0.429889,0.736786,0.318156,0.0463918,0.209622,0.221311,0.166052,6.41951,0.310345,,,71.178,2.4102,11,0.301568,0.301568,3.3904,-0.032294899225234985,13.138447999954224,99.5133,654.7,4.423648648,654.7,4.423648648,127.22000122070312,0,OF,/players/ceddanne-rafaela/24262/stats/batting,3,AL,Ceddanne Rafaela,678882,24262,24262
CLE,Guardians,149,580,648,163,126,24,3,10,84,61,57,1,57,5,3,3,6,18,5,0.281034,0.348837,0.384483,0.73332,0.324055,0.087963,0.087963,1,0.103448,5.31865,0.296512,,,82.3535,5.78727,10.6,0.3179,0.3179,3.36809,7.159361511468887,3.4571433067321777,108.958,719.7,4.830201342,719.7,4.830201342,169.82000732421875,0.02547771,OF,/players/steven-kwan/24610/stats/batting,5,AL,Steven Kwan,680757,24610,24610
ATH,Athletics,152,563,634,155,87,32,2,34,84,110,61,3,157,6,4,0,9,6,1,0.275311,0.350158,0.520426,0.870584,0.370382,0.0962145,0.247634,0.388535,0.245115,3.80351,0.321809,,,104.421,29.509,0,-0.20637,-0.20637,3.36166,27.342139452695847,-16.30658531188965,136.867,938.4,6.17368421,938.4,6.17368421,43.150001525878906,0.82822086,DH/OF,/players/brent-rooker/19627/stats/batting,10,AL,Brent Rooker,667670,19627,19627
NYY,Yankees,141,542,605,143,94,25,2,22,84,90,50,3,86,3,10,0,8,12,3,0.263838,0.323967,0.439114,0.763081,0.327081,0.0826446,0.142149,0.581395,0.175277,4.9495,0.272523,,,78.3749,6.88947,10.6,0.220807,0.220807,3.35673,8.054349303245544,3.931128978729248,110.986,722.9,5.126950354,722.9,5.126950354,80.13999938964844,0,1B/OF,/players/cody-bellinger/15998/stats/batting,9,AL,Cody Bellinger,641355,15998,15998
