Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
STL,Cardinals,140,549,603,139,96,28,2,13,82,62,43,8,108,5,4,2,0,11,4,0.253188,0.311148,0.382514,0.693662,0.298876,0.0713101,0.179104,0.398148,0.129326,5.03017,0.291667,,,64.3071,-6.94197,10.4,-0.335897,-0.335897,3.21191,-5.7156195640563965,17.04682493209839,92.4725,597.9,4.270714285,597.9,4.270714285,999,0,SS,/players/masyn-winn/27479/stats/batting,28,NL,Masyn Winn,691026,27479,27479
LAD,Dodgers,135,520,598,123,75,27,1,20,80,74,66,8,153,8,3,1,1,14,4,0.236538,0.329983,0.407692,0.737676,0.319524,0.110368,0.255853,0.431373,0.171154,4.77116,0.294286,,,73.7989,3.14059,0.7,0.231095,0.231095,3.16624,3.7594567090272903,7.291710555553436,104.978,678.2,5.023703703,678.2,5.023703703,999,0,2B/3B,/players/alex-freeland/31665/stats/batting,22,NL,Alex Freeland,690976,31665,31665
BAL,Orioles,113,433,470,113,66,24,2,21,70,67,29,7,106,7,1,0,0,3,2,0.26097,0.317021,0.471132,0.788153,0.33371,0.0617021,0.225532,0.273585,0.210162,4.277,0.299674,,,63.4159,7.8818,4.9,-0.846194,-0.846194,3.14588,7.944156229496002,6.626925468444824,115.868,586.3,5.188495575,586.3,5.188495575,999,0.18823529,2B/3B,/players/jordan-westburg/27815/stats/batting,2,AL,Jordan Westburg,676059,27815,27815
HOU,Astros,140,539,589,145,101,26,2,16,72,65,34,10,105,11,3,2,1,14,4,0.269017,0.32368,0.413729,0.737409,0.315392,0.057725,0.178268,0.32381,0.144712,4.98283,0.306413,,,70.7122,1.11731,2,0.264103,0.264103,3.13911,1.9166929721832275,8.492504596710205,102.381,660.6,4.718571428,660.6,4.718571428,999,0.01587302,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
LAD,Dodgers,113,398,468,100,63,19,1,17,62,61,55,8,92,9,6,0,3,2,1,0.251256,0.350427,0.432161,0.782588,0.336085,0.117521,0.196581,0.597826,0.180905,3.04751,0.281356,,,64.0484,8.75056,-1.9,-0.795117,-0.795117,3.12332,8.258916676044464,6.697883248329163,116.323,575.6,5.093805309,575.6,5.093805309,999,0.00980392,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
SFG,Giants,115,369,409,85,59,15,2,9,43,44,32,9,105,2,4,2,0,2,0,0.230352,0.292383,0.355014,0.647397,0.275616,0.0782396,0.256724,0.304762,0.124661,3.85877,0.293436,,,35.894,-12.4325,20.8,-0.154541,-0.154541,3.12187,-11.408447861671448,28.313961505889893,76.7841,352.3,3.06347826,352.3,3.06347826,999,0,C,/players/patrick-bailey/27478/stats/batting,30,NL,Patrick Bailey,672275,27478,27478
BOS,Red Sox,148,542,583,143,91,31,4,17,84,76,28,10,118,8,3,2,0,19,6,0.263838,0.308089,0.429889,0.737979,0.312271,0.0480274,0.202401,0.237288,0.166052,6.42669,0.307317,,,68.5149,-0.371053,10.8,0.5705,0.5705,3.11631,-2.5493253469467163,12.942122459411621,95.4596,658.6,4.45,658.6,4.45,999,0,OF,/players/ceddanne-rafaela/24262/stats/batting,3,AL,Ceddanne Rafaela,678882,24262,24262
ARI,Diamondbacks,105,344,386,95,67,17,1,10,46,47,36,12,64,3,3,0,2,3,2,0.276163,0.34715,0.418605,0.765755,0.323863,0.0932643,0.165803,0.5625,0.142442,3.11521,0.311355,,,48.9961,3.38719,8.3,-0.839592,-0.839592,3.10502,2.1146807074546814,15.391417026519775,106.458,454.1,4.324761904,454.1,4.324761904,999,0.09638554,C,/players/gabriel-moreno/22664/stats/batting,15,NL,Gabriel Moreno,672515,22664,22664
ARI,Diamondbacks,127,472,542,122,74,25,2,21,75,70,59,11,89,6,5,0,4,4,1,0.258475,0.345018,0.45339,0.798408,0.339125,0.108856,0.164207,0.662921,0.194915,3.88975,0.275204,,,75.5137,11.4722,-0.1,-0.454532,-0.454532,3.10352,10.409824401140213,1.8914755806326866,116.913,692.3,5.451181102,692.3,5.451181102,999,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
SFG,Giants,123,440,508,105,61,24,1,19,70,58,59,7,126,6,3,0,1,6,2,0.238636,0.334646,0.427273,0.761918,0.328262,0.116142,0.248031,0.468254,0.188636,4.06148,0.288591,,,66.296,6.27188,3.7,-0.404634,-0.404634,3.0488,7.331105828285217,5.566549181938171,112.848,602.7,4.9,602.7,4.9,999,0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
MIL,Brewers,152,591,638,162,96,39,3,24,95,98,38,13,124,3,5,1,2,23,7,0.274112,0.318681,0.472081,0.790763,0.331155,0.0595611,0.194357,0.306452,0.19797,6.08345,0.308036,,,84.7601,9.37547,-4.9,0.914771,0.914771,3.02438,10.889545559883118,-2.555790901184082,113.191,819.1,5.388815789,819.1,5.388815789,999,0.01324503,OF,/players/jackson-chourio/28806/stats/batting,23,NL,Jackson Chourio,694192,28806,28806
