Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,142.857,532.281,600,146.712,87.1183,29.0819,2.48162,28.0303,82.9281,85.8804,58.9587,3.10817,153.726,4.56057,4.2,0,,4.56436,1.44689,0.275629,0.350386,0.497572,0.847958,0.362271,0.0982644,0.256211,0.38353,0.221943,3.93784,0.334575,,,94.87,23.9754,-5.05714,-0.653597,-0.955,4.11736,22.85069841146469,-2.914285659790039,133.569,848.6,5.934265734,848.6,5.934265734,77.9000015258789,0.1402439,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
LAA,Angels,142.857,533.424,600,139.426,83.2714,30.7842,0.623996,24.7465,74.3561,82.1008,46.344,2.33726,132.533,15.9018,4.2,0.13,,28.026,8.98775,0.261379,0.336193,0.460605,0.796798,0.343649,0.0772401,0.220889,0.349678,0.199226,4.98365,0.301515,,,85.7982,14.9036,-2.65714,0.979333,1.271,4.10098,16.004846692085266,3.771428346633911,120.777,790,5.524475524,790,5.524475524,30.649999618530273,0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
ATH,Athletics,142.857,524.039,600,136.234,77.656,31.2961,3.43461,23.8473,83.779,80.7969,64.4711,2.64886,122.156,7.29013,4.2,0,,6.94048,4.4942,0.259969,0.346659,0.469318,0.815977,0.35113,0.107452,0.203593,0.527777,0.209349,4.45209,0.294025,,,89.4423,18.5477,-3.03265,-1.42127,-1.998,4.10094,16.379956364631653,3.395918130874634,125.916,785.3,5.491608391,785.3,5.491608391,999,0,SS,/players/leodalis-de-vries/sa3023363/stats/batting,10,AL,Leo De Vries,815888,sa3023363,sa3023363
ATH,Athletics,142.857,518.988,600,142.254,78.4401,27.7044,1.98491,34.1247,86.6289,93.4308,73.3303,3.87767,154.909,3.48186,4.2,0,,3.24135,1.17217,0.274099,0.365111,0.532387,0.897498,0.380981,0.122217,0.258182,0.473375,0.258288,3.52662,0.323592,,,103.984,33.0895,-1.45714,-0.831078,-1.203,4.07735,31.71675407886505,-12.171428680419922,146.422,919.3,6.428671328,919.3,6.428671328,19,0.04273504,1B,/players/nick-kurtz/35110/stats/batting,10,AL,Nick Kurtz,701762,35110,35110
BAL,Orioles,142.857,513.326,600,139.026,89.4837,29.4061,2.48475,17.6512,81.5704,70.3497,77.407,2.70896,113.511,4.53653,4.2,0.53,,16.6881,6.11974,0.270833,0.368608,0.440957,0.809565,0.352912,0.129012,0.189185,0.681934,0.170124,5.00751,0.314145,,,90.3107,19.4161,-5.74286,-0.282333,-0.446,4.07129,18.800362676382065,0.6857142448425293,127.14,791.6,5.535664335,791.6,5.535664335,198.0500030517578,0.02649007,2B,/players/jackson-holliday/31781/stats/batting,2,AL,Jackson Holliday,702616,31781,31781
MIN,Twins,142.857,540.161,600,136.976,74.5429,26.401,4.25915,31.7727,84.0257,88.3649,46.2265,2.48019,160.203,9.41223,4.2,0,,19.5544,2.86072,0.253583,0.321024,0.494692,0.815716,0.347034,0.0770442,0.267005,0.28855,0.241109,6.40409,0.298545,,,87.4471,16.5525,-1.8,1.89632,2.521,4.04679,18.903736114501953,0.34285712242126465,123.102,820.8,5.739860139,820.8,5.739860139,72.62000274658203,0.06349206,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
NYM,Mets,142.857,526.086,600,135.436,78.8868,27.0533,1.06066,28.4348,77.429,84.1094,61.1337,2.6467,138.962,8.58,4.2,0,,1.78682,0.670636,0.25744,0.341915,0.475045,0.81696,0.351103,0.101889,0.231603,0.439931,0.217605,2.70009,0.294858,,,89.4295,18.5349,-1.37143,-0.880813,-1.26,3.9797,17.105152368545532,1.485714316368103,125.898,788.2,5.511888111,788.2,5.511888111,167.35000610351562,0.01333333,C,/players/francisco-alvarez/26121/stats/batting,25,NL,Francisco Alvarez,682626,26121,26121
MIN,Twins,142.857,491.321,600,115.155,68.2165,22.3939,4.43571,20.1091,86.5276,66.3485,99.016,2.44982,180.529,5.4627,4.2,0,,13.6937,4.72941,0.234379,0.366057,0.4208,0.786857,0.346329,0.165027,0.300882,0.548477,0.186421,5.73265,0.322318,,,87.1038,16.2092,0.514655,-0.321949,-0.496,3.93981,15.543478310108185,2.6575117111206055,122.618,752.2,5.26013986,752.2,5.26013986,999,0,OF,/players/emmanuel-rodriguez/sa3014693/stats/batting,8,AL,Emmanuel Rodriguez,691181,sa3014693,sa3014693
STL,Cardinals,142.857,540.263,600,141.596,93.1587,30.3023,2.95673,15.178,74.4245,67.6009,48.6442,1.38587,104.485,4.81281,4.2,2.08,,13.3464,4.00931,0.262087,0.326219,0.413401,0.73962,0.321697,0.0810736,0.174142,0.46556,0.151315,5.09541,0.297594,,,75.1043,4.20964,7.54286,0.0686341,0.042,3.9247,4.081929866224527,13.971428394317627,105.697,675.8,4.725874125,675.8,4.725874125,340.8500061035156,0,SS,/players/masyn-winn/27479/stats/batting,28,NL,Masyn Winn,691026,27479,27479
SEA,Mariners,142.857,519.009,600,138.405,89.2132,30.3111,1.71448,17.166,77.4011,70.4024,64.3282,2.33464,105.979,11.1923,4.2,1.27,,10.1472,3.04292,0.266671,0.357299,0.430903,0.788202,0.344255,0.107214,0.176631,0.606991,0.164232,4.45638,0.303048,,,86.0933,15.1987,-3.0498,-0.288795,-0.45,3.91492,14.578936398029327,3.3787753582000732,121.193,747.6,5.227972027,747.6,5.227972027,999,0,SS,/players/colt-emerson/sa3022923/stats/batting,11,AL,Colt Emerson,806068,sa3022923,sa3022923
ATL,Braves,142.857,541.864,600,146.278,86.5963,28.5802,1.65577,29.4462,78.265,87.5718,46.1346,2.70092,148.013,7.80183,4.2,0,,2.65688,1.45425,0.269954,0.333691,0.491837,0.825529,0.352385,0.076891,0.246689,0.311693,0.221883,3.1714,0.316959,,,90.0539,19.1593,-1.88571,-0.974085,-1.389,3.90469,17.600580096244812,0.2571427822113037,126.778,808.6,5.654545454,808.6,5.654545454,61.849998474121094,0,3B,/players/austin-riley/18360/stats/batting,16,NL,Austin Riley,663586,18360,18360
WSN,Nationals,142.857,515.377,600,137.565,78.1456,30.8215,2.25502,26.3427,84.3821,84.2442,76.3713,3.2521,166.184,4.05206,4.2,0,,16.7136,5.24033,0.266921,0.363314,0.488816,0.85213,0.365772,0.127286,0.276974,0.459558,0.221895,5.05919,0.340077,,,96.5753,25.6807,-1.45714,0.171361,0.166,3.89788,25.676957711577415,-7.885714054107666,135.974,861.8,6.026573426,861.8,6.026573426,35.869998931884766,0.21153846,OF,/players/james-wood/29518/stats/batting,24,NL,James Wood,695578,29518,29518
ATL,Braves,142.857,529.623,600,143.793,92.0786,27.601,1.33059,22.783,76.9054,76.7973,60.9532,2.54718,103.118,4.97778,4.2,0.246,,0.622102,0.672679,0.271501,0.349684,0.457693,0.807376,0.348814,0.101589,0.171864,0.5911,0.186191,2.24584,0.29665,,,88.3141,17.4195,-0.971429,-1.17737,-1.662,3.86538,15.58779788017273,1.88571435213089,124.325,776.6,5.43076923,776.6,5.43076923,80.1500015258789,0.11009174,C,/players/drake-baldwin/31539/stats/batting,16,NL,Drake Baldwin,686948,31539,31539
TEX,Rangers,142.857,514.836,600,131.786,83.6863,26.1327,4.95393,17.0132,84.8652,66.0131,70.6147,2.18553,118.939,9.43749,4.2,0.912,,26.0299,8.76849,0.255977,0.353601,0.425119,0.77872,0.340438,0.117691,0.198231,0.593706,0.169142,6.58116,0.299603,,,84.2339,13.3393,1.2,0.548619,0.688,3.83743,13.857538521289825,3.3428571224212646,118.571,752.1,5.259440559,752.1,5.259440559,278.1499938964844,0.03225806,OF,/players/evan-carter/27790/stats/batting,13,AL,Evan Carter,694497,27790,27790
ARI,Diamondbacks,142.857,530.297,600,144.456,99.3004,28.7335,0.706518,15.7157,71.7903,67.4281,58.5965,1.93418,100.281,5.17686,4.2,1.73,,5.61763,2.55632,0.272406,0.348053,0.418162,0.766214,0.334802,0.0976608,0.167135,0.584322,0.145755,3.14798,0.307623,,,81.4884,10.5938,5.25714,-0.987123,-1.398,3.83129,9.026109457015991,8.114285945892334,114.7,711.6,4.976223776,711.6,4.976223776,180.82000732421875,0.09638554,C,/players/gabriel-moreno/22664/stats/batting,15,NL,Gabriel Moreno,672515,22664,22664
DET,Tigers,142.857,516.534,600,135.754,87.5639,25.7329,2.95939,19.4977,81.1065,69.7415,75.9453,2.44723,115.994,3.0285,4.2,0.292,,10.5087,1.554,0.262817,0.358054,0.437335,0.795389,0.346426,0.126576,0.193324,0.654733,0.174519,4.89167,0.301774,,,87.1511,16.2565,-1.5807,0.382089,0.464,3.82849,16.550809144973755,0.5621602535247803,122.685,768,5.37062937,768,5.37062937,999,0,OF,/players/maxwell-clark/sa3022683/stats/batting,6,AL,Max Clark,703601,sa3022683,sa3022683
