name,mlbam_id,espn_id,pitcher_type,IP,pos_adj_werth,werth_mean_sim,werth_std_sim,werth_q10_sim,werth_q90_sim,werth_skew_sim,risk_adj_werth_mc,waiver_floor,draft_value_mc
Ryan Fernandez,681676,5002952.0,RP,44.0157,-3.44003137912219,-3.44003137912219,0.4404911730283345,-4.011131468939103,-2.9185805874425133,-0.6336188608401814,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Spencer Bivens,702352,,RP,67.1604,-3.549227165724531,-3.549227165724531,0.5649706483899758,-4.27954884410913,-2.811209089220575,0.01882984475919461,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Easton McGee,668834,41810.0,RP,28.0093,-3.2318637191830346,-3.2318637191830346,0.6413644815403537,-4.101004864341573,-2.5707829287990642,-0.9089381211447578,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Kervin Castro,665645,,RP,25.9552,-3.4026071815626224,-3.4026071815626224,0.9008826154624257,-4.6139203659662025,-2.4407598488959,-1.0777850559467475,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Ethan Roberts,681799,,RP,32.7361,-3.446154975796798,-3.446154975796798,0.5502779786153909,-4.180533073246055,-2.7848604552620593,-0.7448288852315796,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Brent Suter,608718,36023.0,RP,61.4458,-3.4634366855811587,-3.4634366855811587,0.5040482282799279,-4.102966150123388,-2.8098876062671265,0.0004435046323762063,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Spencer Turnbull,605513,33732.0,SP,34.9028,-4.367887108057102,-4.367887108057102,5.925526244500913,-12.68735352217524,1.1627810100023477,-1.1698270650295182,-0.6824299930678035,-1.736263707780635,1.0538337147128316
Mitch Farris,815083,,SP,22.3266,-3.6756879456385807,-3.6756879456385807,4.960357147893951,-10.859817517145677,0.9568270183285258,-1.1215712217263443,-0.724202169735504,-1.736263707780635,1.0120615380451312
Merrill Kelly,518876,32968.0,SP,163.164,-1.1233518149478807,-1.1233518149478807,1.5493945025611875,-3.138734487450176,0.8940488744441839,-0.05073700627376814,-0.7536354237350124,-1.736263707780635,0.9826282840456227
Zebby Matthews,805673,4791597.0,SP,122.164,-0.9142403220786686,-0.9142403220786686,1.0271462691134172,-2.156887703802716,0.4635995505194179,0.2746749974111256,-0.8064672354711417,-1.736263707780635,0.9297964723094934
Cal Quantrill,615698,39875.0,SP,19.8995,-3.7098438907358986,-3.7098438907358986,4.61954635751315,-10.223896597548066,0.7841842562931016,-1.025969834039934,-0.8297718128289603,-1.736263707780635,0.9064918949516748
Grayson Rodriguez,680570,41196.0,SP,104.698,-1.2627952344800946,-1.2627952344800946,1.3151319413127192,-2.877486237964588,0.37913475893248966,0.2351331837138885,-0.9594457831206712,-1.736263707780635,0.7768179246599639
Trey Yesavage,702056,4949041.0,SP,112.134,-1.2574924015181326,-1.2574924015181326,1.2356779943138239,-2.8026510183943176,0.3722139256747984,0.1805746188809799,-0.975792116014332,-1.736263707780635,0.7604715917663031
Cody Ponce,664074,,SP,135.717,-1.204313303030724,-1.204313303030724,1.0107967105883076,-2.50761496137397,0.10099890573099933,-0.13723348999982002,-1.0113967985174328,-1.736263707780635,0.7248669092632023
JR Ritchie,702275,,SP,23.3039,-3.5186459770956207,-3.5186459770956207,4.057805483850822,-9.124940402689212,0.3914082495288642,-1.1807520912711371,-1.021558337652191,-1.736263707780635,0.714705370128444
Brandon Walter,687888,4228724.0,SP,6.10604,-2.718850308261059,-2.718850308261059,2.876197932743339,-4.622010591341218,0.6964624688217651,1.6428061236263691,-1.0267155336917066,-1.736263707780635,0.7095481740889285
Matt Waldron,663362,4020158.0,SP,16.3578,-3.4571547356936074,-3.4571547356936074,3.9164766464727685,-9.06115000009461,0.03922493010236097,-1.2938491598152988,-1.0656110574421778,-1.736263707780635,0.6706526503384573
Andrew Abbott,671096,4414528.0,SP,164.567,-1.749963718148642,-1.749963718148642,1.6235393185392744,-3.777833444427771,0.3603130920642971,0.03874612037770918,-1.0990339678019618,-1.736263707780635,0.6372297399786733
Tink Hence,693311,,SP,13.1213,-3.2322676019131658,-3.2322676019131658,3.7905559714868846,-8.533802730052196,-0.18786270030387012,-1.6859782972995974,-1.104718556337872,-1.736263707780635,0.631545151442763
Edward Cabrera,665795,40944.0,SP,135.231,-1.4666417884048206,-1.4666417884048206,1.2083851763416054,-3.0146609896507397,0.0744640661722395,0.05910643353775198,-1.1048854953675424,-1.736263707780635,0.6313782124130927
Bryce Miller,682243,4654313.0,SP,141.491,-1.5332023439957556,-1.5332023439957556,1.2843204998480755,-3.210871084058603,0.015125242775420506,-0.17841601173005087,-1.1091908929419936,-1.736263707780635,0.6270728148386415
Hagen Smith,696146,5023126.0,SP,18.8012,-3.888231936532237,-3.888231936532237,4.248748966495671,-9.905677291932104,0.21628508040577502,-1.215253653759189,-1.1112828626450018,-1.736263707780635,0.6249808451356333
Zach Eflin,621107,32804.0,SP,138.855,-1.5579924144903883,-1.5579924144903883,1.3316424649225094,-3.287435433021499,0.1480247094607997,0.012740821261120227,-1.1115198750641235,-1.736263707780635,0.6247438327165116
Cade Horton,690990,4692526.0,SP,127.868,-1.7086257747295663,-1.7086257747295663,1.49754629288463,-3.6347832261666957,0.12416192351975447,-0.36247468456141607,-1.1259817591412342,-1.736263707780635,0.6102819486394009
Noah Schultz,702273,5080754.0,SP,22.0756,-3.736351794968388,-3.736351794968388,3.8096505557786813,-9.186312928932894,0.19381611849975572,-0.9476608927709668,-1.134158053425559,-1.736263707780635,0.602105654355076
Shane Baz,669358,39639.0,SP,155.616,-1.5553724420307509,-1.5553724420307509,1.2503510740356596,-3.153144304919684,0.06977184382797744,-0.07466480414650002,-1.1364573005485203,-1.736263707780635,0.5998064072321148
Martín Pérez,527048,31098.0,SP,46.87,-4.12093204112501,-4.12093204112501,4.21587507786632,-10.171004212036044,0.20774072774557828,-0.9743435128801743,-1.1499667074336724,-1.736263707780635,0.5862970003469627
Zac Gallen,668678,39910.0,SP,176.923,-1.9890455790461257,-1.9890455790461257,1.6596092769163924,-4.128189902023697,0.12489366954297972,-0.0021113085799693647,-1.197645299917227,-1.736263707780635,0.5386184078634082
Logan Henderson,701656,4917878.0,SP,84.5166,-1.4856131386541125,-1.4856131386541125,1.0173032470761298,-2.7019459977603977,-0.23303138808868065,0.21599806412912856,-1.2101889460831348,-1.736263707780635,0.5260747616975003
Jared Jones,683003,4918156.0,SP,81.9903,-1.563132960591406,-1.563132960591406,1.1055807802527824,-2.943105906834404,-0.180333180043891,0.035250357306188376,-1.210544173394886,-1.736263707780635,0.525719534385749
Gage Jump,695611,,SP,36.7454,-3.4221546553114974,-3.4221546553114974,3.8242000634504723,-8.244371989862882,-0.17312771306731267,-1.7534888138135438,-1.210719618112913,-1.736263707780635,0.5255440896677221
Casey Mize,663554,41167.0,SP,145.799,-1.7211700205082185,-1.7211700205082185,1.199527497653431,-3.2907703036851275,-0.17329159170098477,-0.019541911485660878,-1.244977125204667,-1.736263707780635,0.491286582575968
Cam Schlittler,693645,5134581.0,SP,131.694,-1.736263707780635,-1.736263707780635,1.240105974490035,-3.3182857213382784,-0.16800808884790988,-0.2697598174978224,-1.2476726445446602,-1.736263707780635,0.4885910632359749
Ryan Weathers,677960,41178.0,SP,122.679,-1.7901820101021118,-1.7901820101021118,1.2948258560056631,-3.515231309428801,-0.21431855908106065,-0.2144121216535409,-1.2544940834773495,-1.736263707780635,0.4817696243032856
Reynaldo López,625643,33860.0,SP,130.444,-1.9273870834962405,-1.9273870834962405,1.4392725174017176,-3.822769411916607,-0.15860812550253192,-0.17230730624383866,-1.2603579405200867,-1.736263707780635,0.47590576726054845
Jacob Misiorowski,694819,5080761.0,SP,138.901,-2.0200485556121928,-2.0200485556121928,1.5390938155509757,-4.016554958911273,-0.08997075979162175,-0.19339345245981232,-1.2650060402531058,-1.736263707780635,0.4712576675275293
Brandon Pfaadt,694297,4721302.0,SP,164.386,-1.9979215596573505,-1.9979215596573505,1.48332493298503,-3.8204494463578356,-0.06038207692559336,-0.046547910984068304,-1.2656561985910995,-1.736263707780635,0.47060750918953564
Kohl Drake,684442,,SP,19.3351,-3.310940050361727,-3.310940050361727,3.1831283493019296,-7.661484283294325,-0.404856681072286,-1.3310400889516905,-1.2675153148106997,-1.736263707780635,0.4687483929699354
Corbin Burnes,669203,39878.0,SP,35.3349,-2.072883959888017,-2.072883959888017,1.6628255301943577,-3.515987559689912,-0.03251712055481165,1.2646311162716375,-1.267734067856758,-1.736263707780635,0.4685296399238772
Shane Smith,681343,5201814.0,SP,157.119,-2.1503306841552856,-2.1503306841552856,1.5827363706195556,-4.204391562896771,-0.11334228767520754,-0.034193110167515924,-1.2827802020780399,-1.736263707780635,0.4534835057025952
Thomas White,806258,,SP,29.5166,-3.383001023193467,-3.383001023193467,3.2905130518419226,-7.974439025566679,-0.43699767795703504,-1.3437920983345024,-1.2931819546585497,-1.736263707780635,0.4430817531220854
Sandy Alcantara,645261,35241.0,SP,176.905,-2.2181215739410876,-2.2181215739410876,1.6148479054845943,-4.312550880511247,-0.19782292883432584,0.05195636603938206,-1.3074252218195297,-1.736263707780635,0.4288384859611054
